model,scenario,seed,source,score,delivered_units,lost_units,energy_wh,wh_per_unit,distance_m,charge_trips,min_battery_percent,violation_count,actions,failed_actions,fallback_decisions,nav_failures,shift_s,wall_s,run_id
ns,balanced,5000,gazebo,3.71,4,0.0,0.582,0.1455,39.07,0,97.3,0,4,0,0,0,219.8,253,run_20260917_145259
ns,balanced,5000,sim,3.75,4,0.0,0.49,0.1225,35.2,0,97.8,0,4,,,,180.2,,
