actions,blocked_time_s,charge_trips,condition_percent,delivered_by_section,delivered_units,distance_m,end_battery_percent,energy_wh,lost_by_section,lost_units,min_battery_percent,policy,produced_units,scenario,score,seed,shift_s,violation_count,violations,wh_per_unit
64,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,44.95,"{'A': 21, 'B': 31, 'C': 4}",56,343.1,97.3,5.382,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.6,rule,56,worn_robot,53.31,5,3600.7,0,,0.0961
65,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,44.97,"{'A': 9, 'B': 17, 'C': 4}",30,234.2,99.6,3.491,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.3,rule,33,worn_robot,28.25,6,3600.5,0,,0.1164
67,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,44.95,"{'A': 19, 'B': 27, 'C': 4}",50,343.4,97.9,5.301,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.6,rule,51,worn_robot,47.35,7,3600.4,0,,0.106
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,44.94,"{'A': 18, 'B': 31, 'C': 4}",53,373.5,98.1,5.627,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.8,rule,53,worn_robot,50.19,8,3600.7,0,,0.1062
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,44.94,"{'A': 18, 'B': 28, 'C': 4}",50,373.0,100.0,5.632,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.3,rule,53,worn_robot,47.18,9,3600.4,0,,0.1126
67,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,44.94,"{'A': 18, 'B': 31, 'C': 4}",53,368.4,97.8,5.595,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.5,rule,54,worn_robot,50.2,10,3600.6,0,,0.1056
69,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,44.95,"{'A': 18, 'B': 28, 'C': 4}",50,354.3,100.0,5.359,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.7,rule,53,worn_robot,47.32,11,3600.5,0,,0.1072
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,44.94,"{'A': 18, 'B': 30, 'C': 4}",52,382.7,99.5,5.727,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.3,rule,55,worn_robot,49.14,12,3600.3,0,,0.1101
67,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,44.96,"{'A': 18, 'B': 17, 'C': 4}",39,281.0,98.8,4.344,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.4,rule,44,worn_robot,36.83,13,3600.5,0,,0.1114
71,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",12,44.94,"{'A': 21, 'B': 28, 'C': 4}",53,384.2,98.8,5.771,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.9,rule,54,worn_robot,50.11,14,3600.2,0,,0.1089
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",12,44.94,"{'A': 18, 'B': 31, 'C': 4}",53,374.5,98.0,5.676,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.3,rule,53,worn_robot,50.16,15,3600.3,0,,0.1071
70,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,44.95,"{'A': 18, 'B': 26, 'C': 4}",48,337.8,100.0,5.103,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.4,rule,49,worn_robot,45.45,16,3600.2,0,,0.1063
68,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,44.95,"{'A': 18, 'B': 30, 'C': 4}",52,356.8,100.0,5.464,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.8,rule,55,worn_robot,49.27,17,3601.0,0,,0.1051
68,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,44.95,"{'A': 19, 'B': 21, 'C': 4}",44,298.0,97.8,4.565,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.9,rule,44,worn_robot,41.72,18,3601.0,0,,0.1037
68,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,44.95,"{'A': 18, 'B': 29, 'C': 4}",51,327.8,100.0,5.096,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.7,rule,55,worn_robot,48.45,19,3600.4,0,,0.0999
