actions,blocked_time_s,charge_trips,condition_percent,decision_ms,delivered_by_section,delivered_units,distance_m,end_battery_percent,energy_wh,lost_by_section,lost_units,min_battery_percent,policy,produced_units,scenario,score,seed,shift_s,violation_count,violations,wh_per_unit
41,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.96,0.0,"{'A': 15, 'B': 27, 'C': 4}",46,301.2,95.3,4.306,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.4,rule,48,aged_battery,43.85,0,3600.3,0,,0.0936
35,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 19, 'B': 29, 'C': 4}",52,307.4,100.0,4.5,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.1,rule,55,aged_battery,49.75,1,3600.3,0,,0.0865
35,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 18, 'B': 26, 'C': 4}",48,315.3,98.9,4.552,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.4,rule,52,aged_battery,45.72,2,3600.5,0,,0.0948
36,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 18, 'B': 28, 'C': 4}",50,312.0,98.6,4.531,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,54,aged_battery,47.73,3,3600.9,0,,0.0906
41,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 9, 'B': 32, 'C': 4}",45,279.3,97.3,3.97,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,44,aged_battery,43.01,4,3600.3,0,,0.0882
35,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,99.95,0.0,"{'A': 18, 'B': 27, 'C': 4}",49,312.9,99.7,4.55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.0,rule,55,aged_battery,46.72,5,3600.2,0,,0.0929
47,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",5,99.97,0.0,"{'A': 9, 'B': 17, 'C': 4}",30,215.5,96.1,3.06,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.1,rule,33,aged_battery,28.47,6,3600.6,0,,0.102
39,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 18, 'B': 28, 'C': 4}",50,323.3,92.2,4.779,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.3,rule,51,aged_battery,47.61,7,3600.0,0,,0.0956
36,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.95,0.0,"{'A': 18, 'B': 29, 'C': 4}",51,329.9,94.6,4.904,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.3,rule,54,aged_battery,48.55,8,3600.8,0,,0.0962
37,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.96,0.0,"{'A': 18, 'B': 26, 'C': 4}",48,298.3,98.6,4.403,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.7,rule,51,aged_battery,45.8,9,3600.8,0,,0.0917
