seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",14.62,62.77,68.92,14.93,15.18,0.1796,0.1908,0.0,0.0,29.929,29.112,29.062,2.0,5,B,
2,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",77.4,70.72,76.87,17.687,18.28,0.2479,0.2619,0.0,0.0,29.112,27.985,27.921,4.0,4,A,
3,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",148.13,72.15,76.87,17.765,18.28,0.2915,0.3043,0.0,0.0,27.985,26.66,26.602,4.8,2,B,
4,DELIVER,delivery,SUCCEEDED,delivered 11 units,220.28,56.67,56.31,10.128,10.26,0.2007,0.2024,0.0,0.0,26.66,25.748,25.74,0.0,11,delivery,
5,CHARGE,charger,SUCCEEDED,charged to 40.0 %,276.96,620.9,616.14,5.263,5.1,0.0531,0.0474,3.1931,3.1828,25.748,40.021,40.0,0.0,0,charger,
6,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",897.86,62.7,68.92,14.957,15.18,0.1798,0.1908,0.0,0.0,40.021,39.203,39.154,2.0,5,B,
7,DELIVER,delivery,SUCCEEDED,delivered 5 units,960.56,56.48,56.31,10.185,10.26,0.1696,0.169,0.0,0.0,39.203,38.433,38.435,0.0,5,delivery,
8,PICKUP,C,SUCCEEDED,"took 2 units (3.00 kg), 0 left",1017.04,47.27,46.15,6.285,6.3,0.1098,0.1084,0.0,0.0,38.433,37.934,37.94,3.0,2,C,
9,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",1064.32,52.27,53.69,9.206,9.24,0.165,0.1679,0.0,0.0,37.934,37.184,37.171,3.8,2,B,
10,DELIVER,delivery,SUCCEEDED,delivered 4 units,1116.6,56.38,56.31,10.142,10.26,0.1891,0.1906,0.0,0.0,37.184,36.324,36.317,0.0,4,delivery,
11,PICKUP,A,SUCCEEDED,"took 6 units (3.00 kg), 0 left",1172.98,53.15,55.67,9.849,10.01,0.1396,0.1431,0.0,0.0,36.324,35.689,35.674,3.0,6,A,
