seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",14.7,62.94,68.92,14.989,15.18,0.18,0.1908,0.0,0.0,99.921,99.103,99.054,0.8,2,B,
2,DELIVER,delivery,SUCCEEDED,delivered 2 units,77.66,56.82,56.31,10.178,10.26,0.1553,0.1547,0.0,0.0,99.103,98.397,98.4,0.0,2,delivery,
3,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",134.49,53.66,56.31,10.08,10.26,0.1404,0.1451,0.0,0.0,98.397,97.759,97.737,0.4,1,B,
4,DELIVER,delivery,SUCCEEDED,delivered 1 units,188.16,56.83,56.31,10.18,10.26,0.149,0.1499,0.0,0.0,97.759,97.082,97.078,0.0,1,delivery,
5,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",245.0,53.15,55.67,9.801,10.01,0.1374,0.1428,0.0,0.0,97.074,96.45,96.425,1.0,2,A,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,298.16,56.04,55.67,9.827,10.01,0.1539,0.1545,0.0,0.0,96.45,95.75,95.748,0.0,2,delivery,
7,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",354.21,53.26,56.31,10.034,10.26,0.1387,0.1453,0.0,0.0,95.75,95.119,95.09,0.8,2,B,
8,DELIVER,delivery,SUCCEEDED,delivered 2 units,407.48,56.36,56.31,10.158,10.26,0.1539,0.1549,0.0,0.0,95.119,94.42,94.415,0.0,2,delivery,
9,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",463.85,53.28,55.67,9.884,10.01,0.1398,0.1431,0.0,0.0,94.42,93.784,93.769,0.5,1,A,
10,DELIVER,delivery,SUCCEEDED,delivered 1 units,517.14,56.24,55.67,9.857,10.01,0.1488,0.149,0.0,0.0,93.784,93.108,93.107,0.0,1,delivery,
11,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",573.42,54.7,56.31,10.108,10.26,0.1427,0.1456,0.0,0.0,93.108,92.459,92.446,0.8,2,B,attempt 1: Nav2 aborted | recovery: clear costmaps
12,DELIVER,delivery,SUCCEEDED,delivered 2 units,628.14,56.41,56.31,10.162,10.26,0.1543,0.1553,0.0,0.0,92.459,91.758,91.753,0.0,2,delivery,
13,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",684.56,53.2,55.67,9.797,10.01,0.138,0.1434,0.0,0.0,91.758,91.131,91.106,1.0,2,A,
14,DELIVER,delivery,SUCCEEDED,delivered 2 units,737.77,56.05,55.67,9.881,10.01,0.155,0.1552,0.0,0.0,91.131,90.426,90.425,0.0,2,delivery,
15,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",793.82,53.42,56.31,10.055,10.26,0.141,0.1459,0.0,0.0,90.426,89.785,89.763,0.4,1,B,
16,DELIVER,delivery,SUCCEEDED,delivered 1 units,847.26,56.42,56.31,10.119,10.26,0.1495,0.1507,0.0,0.0,89.785,89.106,89.1,0.0,1,delivery,
17,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",903.68,53.42,56.31,10.031,10.26,0.1411,0.146,0.0,0.0,89.106,88.465,88.443,0.4,1,B,
18,PICKUP,C,FAILED,could not reach C; returned to the charger,957.12,84.37,53.69,18.13,9.24,0.2408,0.1408,0.0,0.0,88.465,87.37,87.825,0.4,0,charger,attempt 1: Nav2 aborted | recovery: clear costmaps | attempt 2: Nav2 aborted | recovery: back up (backed up) | attempt 3: Nav2 aborted | return to charger
19,DELIVER,delivery,SUCCEEDED,delivered 1 units,1041.49,44.0,43.08,5.152,5.1,0.1021,0.1002,0.0,0.0,87.37,86.906,86.915,0.0,1,delivery,
20,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",1085.49,48.22,46.15,6.41,6.3,0.1127,0.109,0.0,0.0,86.906,86.394,86.41,1.5,1,C,
21,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",1133.72,51.88,53.69,9.071,9.24,0.1491,0.1529,0.0,0.0,86.394,85.716,85.699,2.3,2,B,
22,DELIVER,delivery,SUCCEEDED,delivered 3 units,1185.62,55.81,56.31,10.013,10.26,0.1717,0.1741,0.0,0.0,85.716,84.935,84.925,0.0,3,delivery,
