ts,run_id,order_id,activity,state,battery_percent,temperature_c,condition_percent,payload_kg,motor_load,speed,distance_delta_m,cumulative_distance_m,cumulative_energy_wh,cumulative_charged_wh
2.0,run_20260920_132535,,idle,idle,29.998,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0
3.0,run_20260920_132535,,idle,idle,29.99,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0
4.0,run_20260920_132535,,idle,idle,29.982,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0
5.0,run_20260920_132535,,idle,idle,29.975,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0
6.0,run_20260920_132535,,idle,idle,29.967,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0
7.0,run_20260920_132535,,idle,idle,29.96,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0
8.0,run_20260920_132535,,idle,idle,29.952,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0
9.0,run_20260920_132535,,idle,idle,29.945,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0
10.0,run_20260920_132535,,idle,idle,29.937,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0
11.012,run_20260920_132535,,waiting,waiting,29.929,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0
12.0,run_20260920_132535,,waiting,waiting,29.922,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.0
13.004,run_20260920_132535,,waiting,waiting,29.914,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.0
14.0,run_20260920_132535,,waiting,waiting,29.907,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0
15.0,run_20260920_132535,,driving,driving,29.899,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0
16.0,run_20260920_132535,,driving,driving,29.885,22.032,100.0,0.0,0.866,0.483,0.2788,0.279,0.0252,0.0
17.0,run_20260920_132535,,driving,driving,29.866,22.065,100.0,0.0,0.897,0.5,0.4917,0.771,0.0294,0.0
18.0,run_20260920_132535,,driving,driving,29.848,22.098,100.0,0.0,0.878,0.489,0.4955,1.266,0.0335,0.0
19.0,run_20260920_132535,,driving,driving,29.829,22.131,100.0,0.0,0.897,0.5,0.4786,1.745,0.0376,0.0
20.0,run_20260920_132535,,driving,driving,29.81,22.163,100.0,0.0,0.868,0.484,0.4993,2.244,0.0417,0.0
21.0,run_20260920_132535,,driving,driving,29.792,22.195,100.0,0.0,0.882,0.491,0.4901,2.734,0.0459,0.0
22.0,run_20260920_132535,,driving,driving,29.773,22.227,100.0,0.0,0.881,0.491,0.4934,3.227,0.05,0.0
23.004,run_20260920_132535,,driving,driving,29.754,22.258,99.999,0.0,0.827,0.461,0.4878,3.715,0.0541,0.0
24.0,run_20260920_132535,,driving,driving,29.736,22.291,99.999,0.0,0.894,0.498,0.47,4.185,0.0581,0.0
25.0,run_20260920_132535,,driving,driving,29.717,22.322,99.999,0.0,0.867,0.483,0.4944,4.679,0.0623,0.0
26.0,run_20260920_132535,,driving,driving,29.698,22.355,99.999,0.0,0.897,0.5,0.4997,5.179,0.0664,0.0
27.0,run_20260920_132535,,driving,driving,29.68,22.388,99.999,0.0,0.887,0.494,0.4826,5.662,0.0705,0.0
28.0,run_20260920_132535,,driving,driving,29.661,22.419,99.999,0.0,0.871,0.485,0.4917,6.153,0.0746,0.0
29.0,run_20260920_132535,,driving,driving,29.642,22.452,99.999,0.0,0.897,0.5,0.5003,6.654,0.0788,0.0
