seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 3 units (1.80 kg), 0 left",12.72,62.85,68.92,14.997,15.18,0.18,0.1908,0.0,0.0,49.928,49.11,49.061,1.8,3,B,
2,DELIVER,delivery,SUCCEEDED,delivered 3 units,75.57,56.66,56.31,10.215,10.26,0.1674,0.1666,0.0,0.0,49.11,48.349,48.353,0.0,3,delivery,attempt 1: Nav2 aborted | recovery: clear costmaps
3,PICKUP,A,SUCCEEDED,"took 2 units (1.60 kg), 0 left",132.23,53.5,55.67,9.783,10.01,0.1373,0.1428,0.0,0.0,48.349,47.725,47.7,1.6,2,A,
4,DELIVER,delivery,SUCCEEDED,delivered 2 units,185.73,56.18,55.67,9.886,10.01,0.1611,0.1614,0.0,0.0,47.725,46.992,46.991,0.0,2,delivery,
5,PICKUP,B,SUCCEEDED,"took 4 units (2.40 kg), 0 left",241.92,53.11,56.31,10.011,10.26,0.1402,0.1451,0.0,0.0,46.992,46.355,46.332,2.4,4,B,
6,DELIVER,delivery,SUCCEEDED,delivered 4 units,295.04,56.59,56.31,10.15,10.26,0.1725,0.1738,0.0,0.0,46.355,45.571,45.565,0.0,4,delivery,
7,PICKUP,A,SUCCEEDED,"took 3 units (2.40 kg), 0 left",351.64,53.05,55.67,9.774,10.01,0.1374,0.143,0.0,0.0,45.571,44.946,44.921,2.4,3,A,
8,DELIVER,delivery,SUCCEEDED,delivered 3 units,404.69,56.42,55.67,9.904,10.01,0.1726,0.171,0.0,0.0,44.946,44.162,44.169,0.0,3,delivery,
9,PICKUP,B,SUCCEEDED,"took 4 units (2.40 kg), 0 left",461.12,53.34,56.31,10.03,10.26,0.1389,0.1455,0.0,0.0,44.162,43.531,43.501,2.4,4,B,
10,DELIVER,delivery,SUCCEEDED,delivered 4 units,514.48,56.58,56.31,10.144,10.26,0.1747,0.1743,0.0,0.0,43.531,42.736,42.739,0.0,4,delivery,
11,PICKUP,A,SUCCEEDED,"took 2 units (1.60 kg), 0 left",571.06,53.4,55.67,9.85,10.01,0.1381,0.1433,0.0,0.0,42.736,42.109,42.085,1.6,2,A,
12,DELIVER,delivery,SUCCEEDED,delivered 2 units,624.46,56.17,55.67,9.828,10.01,0.1616,0.1621,0.0,0.0,42.109,41.374,41.372,0.0,2,delivery,
13,PICKUP,C,SUCCEEDED,"took 1 units (2.00 kg), 0 left",680.64,47.71,46.15,6.447,6.3,0.1127,0.1088,0.0,0.0,41.374,40.862,40.879,2.0,1,C,
14,PICKUP,B,SUCCEEDED,"took 4 units (2.40 kg), 0 left",728.36,52.57,53.69,9.241,9.24,0.1553,0.158,0.0,0.0,40.862,40.156,40.144,4.4,4,B,
15,DELIVER,delivery,SUCCEEDED,delivered 5 units,780.93,56.65,56.31,10.229,10.26,0.1999,0.1989,0.0,0.0,40.156,39.247,39.252,0.0,5,delivery,
16,PICKUP,A,SUCCEEDED,"took 3 units (2.40 kg), 0 left",837.59,53.28,55.67,9.81,10.01,0.1382,0.1436,0.0,0.0,39.247,38.619,38.594,2.4,3,A,
17,DELIVER,delivery,SUCCEEDED,delivered 3 units,890.88,55.97,55.67,9.819,10.01,0.1712,0.172,0.0,0.0,38.619,37.841,37.837,0.0,3,delivery,
18,PICKUP,C,SUCCEEDED,"took 1 units (2.00 kg), 0 left",946.85,47.36,46.15,6.334,6.3,0.1122,0.109,0.0,0.0,37.841,37.331,37.346,2.0,1,C,
19,PICKUP,B,SUCCEEDED,"took 5 units (3.00 kg), 0 left",994.21,52.47,53.69,9.138,9.24,0.1549,0.1583,0.0,0.0,37.331,36.627,36.611,5.0,5,B,
20,DELIVER,delivery,SUCCEEDED,delivered 6 units,1046.69,56.7,56.31,10.163,10.26,0.207,0.2067,0.0,0.0,36.627,35.686,35.687,0.0,6,delivery,
21,PICKUP,A,SUCCEEDED,"took 2 units (1.60 kg), 0 left",1103.39,53.29,55.67,9.814,10.01,0.1385,0.1438,0.0,0.0,35.686,35.057,35.032,1.6,2,A,
22,DELIVER,delivery,SUCCEEDED,delivered 2 units,1156.68,56.19,55.67,9.91,10.01,0.1627,0.1628,0.0,0.0,35.057,34.317,34.317,0.0,2,delivery,
