seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",16.9,62.94,68.92,14.974,15.18,0.1798,0.1908,0.0,0.0,99.902,99.084,99.035,0.8,2,B,
2,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",79.84,71.45,76.87,17.764,18.28,0.2254,0.2365,0.0,0.0,99.084,98.06,98.009,1.3,1,A,
3,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",151.31,70.75,76.87,17.728,18.28,0.2338,0.2471,0.0,0.0,98.06,96.997,96.937,1.7,1,B,
4,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",222.06,70.66,76.87,17.742,18.28,0.2407,0.2556,0.0,0.0,96.997,95.903,95.835,2.2,1,A,
5,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",292.73,70.79,76.87,17.76,18.28,0.2534,0.2668,0.0,0.0,95.903,94.751,94.69,3.0,2,B,
6,DELIVER,delivery,SUCCEEDED,delivered 7 units,363.53,56.76,56.31,10.181,10.26,0.1822,0.1815,0.0,0.0,94.751,93.923,93.926,0.0,7,delivery,
7,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",420.3,53.12,55.67,9.831,10.01,0.138,0.1433,0.0,0.0,93.923,93.296,93.272,0.5,1,A,
8,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",473.46,73.7,76.87,17.905,18.28,0.2246,0.2312,0.0,0.0,93.296,92.275,92.245,0.9,1,B,
9,DELIVER,delivery,SUCCEEDED,delivered 2 units,547.16,56.89,56.31,10.099,10.26,0.157,0.1567,0.0,0.0,92.275,91.561,91.563,0.0,2,delivery,
10,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",604.05,53.41,56.31,9.994,10.26,0.1391,0.1459,0.0,0.0,91.561,90.929,90.898,0.4,1,B,
11,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",657.47,70.71,76.87,17.741,18.28,0.2171,0.2296,0.0,0.0,90.929,89.942,89.885,1.4,2,A,
12,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",728.19,75.98,76.87,19.339,18.28,0.2575,0.2514,0.0,0.0,89.942,88.772,88.799,1.8,1,B,
13,DELIVER,delivery,SUCCEEDED,delivered 4 units,804.2,56.48,56.31,10.081,10.26,0.1664,0.1681,0.0,0.0,88.772,88.016,88.008,0.0,4,delivery,
14,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",860.68,53.6,56.31,10.016,10.26,0.1412,0.1463,0.0,0.0,88.016,87.373,87.351,0.4,1,B,
15,DELIVER,delivery,SUCCEEDED,delivered 1 units,914.29,56.69,56.31,10.07,10.26,0.1497,0.1512,0.0,0.0,87.373,86.693,86.686,0.0,1,delivery,
16,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",970.99,47.51,46.15,6.261,6.3,0.1121,0.1092,0.0,0.0,86.693,86.184,86.197,1.5,1,C,
17,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",1018.52,52.44,53.69,9.247,9.24,0.1505,0.1532,0.0,0.0,86.184,85.5,85.488,2.3,2,B,
18,DELIVER,delivery,SUCCEEDED,delivered 3 units,1070.97,56.72,56.31,10.223,10.26,0.1753,0.1744,0.0,0.0,85.5,84.703,84.707,0.0,3,delivery,
19,PICKUP,A,SUCCEEDED,"took 3 units (1.50 kg), 0 left",1127.71,53.05,55.67,9.816,10.01,0.1387,0.144,0.0,0.0,84.703,84.072,84.048,1.5,3,A,
20,DELIVER,delivery,SUCCEEDED,delivered 3 units,1180.76,56.01,55.67,9.824,10.01,0.1613,0.1619,0.0,0.0,84.072,83.339,83.336,0.0,3,delivery,
