seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location
1,PICKUP,C,SUCCEEDED,"nothing taken, 0 left",10.38,56.07,58.9,11.271,11.27,0.1497,0.1545,0.0,0.0,99.95,99.269,99.248,0.0,0,C
2,DELIVER,delivery,SUCCEEDED,delivered 0 units,66.46,47.95,46.15,6.377,6.3,0.1119,0.1084,0.0,0.0,99.269,98.761,98.776,0.0,0,delivery
3,CHARGE,charger,SUCCEEDED,charged to 100.0 %,114.4,76.18,73.68,5.222,5.1,0.0507,0.0473,0.3217,0.3199,98.761,99.992,100.0,0.0,0,charger
