seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location
1,PICKUP,C,SUCCEEDED,"nothing taken, 0 left",10.27,56.57,58.9,11.345,11.27,0.15,0.1545,0.0,0.0,99.944,99.262,99.242,0.0,0,C
2,DELIVER,delivery,SUCCEEDED,delivered 0 units,66.84,48.05,46.15,6.396,6.3,0.112,0.1084,0.0,0.0,99.262,98.753,98.769,0.0,0,delivery
3,CHARGE,charger,SUCCEEDED,charged to 100.0 %,114.89,78.42,74.02,5.299,5.1,0.053,0.0473,0.3257,0.3216,98.753,99.992,100.0,0.0,0,charger
