sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
3.15,C,RUNNING,0.0,0,0,0,3,0.0,5.0,100.0,2116.2601,0.0,0,0.0,0.0
4.0,C,RUNNING,0.848,0,0,0,3,0.0,5.0,100.0,2115.4121,0.0,0,0.0,0.0
5.0,C,RUNNING,1.848,0,0,0,3,0.0,5.0,100.0,2114.4121,0.0,0,0.0,0.0
6.0,C,RUNNING,2.848,0,0,0,3,0.0,5.0,100.0,2113.4121,0.0,0,0.0,0.0
7.0,C,RUNNING,3.848,0,0,0,3,0.0,5.0,100.0,2112.4121,0.0,0,0.0,0.0
8.0,C,RUNNING,4.848,0,0,0,3,0.0,5.0,100.0,2111.4121,0.0,0,0.0,0.0
9.0,C,RUNNING,5.852,0,0,0,3,0.0,5.0,100.0,2110.4081,0.0,0,0.0,0.0
10.0,C,RUNNING,6.848,0,0,0,3,0.0,5.0,100.0,2109.4121,0.0,0,0.0,0.0
11.0,C,RUNNING,7.848,0,0,0,3,0.0,5.0,100.0,2108.4121,0.0,0,0.0,0.0
12.0,C,RUNNING,8.848,0,0,0,3,0.0,5.0,100.0,2107.4121,0.0,0,0.0,0.0
13.0,C,RUNNING,9.848,0,0,0,3,0.0,5.0,100.0,2106.4121,0.0,0,0.0,0.0
14.0,C,RUNNING,10.848,0,0,0,3,0.0,5.0,100.0,2105.4121,0.0,0,0.0,0.0
15.0,C,RUNNING,11.852,0,0,0,3,0.0,5.0,100.0,2104.4081,0.0,0,0.0,0.0
16.0,C,RUNNING,12.848,0,0,0,3,0.0,5.0,100.0,2103.4121,0.0,0,0.0,0.0
17.0,C,RUNNING,13.848,0,0,0,3,0.0,5.0,100.0,2102.4121,0.0,0,0.0,0.0
18.0,C,RUNNING,14.848,0,0,0,3,0.0,5.0,100.0,2101.4121,0.0,0,0.0,0.0
19.0,C,RUNNING,15.848,0,0,0,3,0.0,5.0,100.0,2100.4121,0.0,0,0.0,0.0
20.0,C,RUNNING,16.848,0,0,0,3,0.0,5.0,100.0,2099.4121,0.0,0,0.0,0.0
21.0,C,RUNNING,17.848,0,0,0,3,0.0,5.0,100.0,2098.4121,0.0,0,0.0,0.0
22.0,C,RUNNING,18.848,0,0,0,3,0.0,5.0,100.0,2097.4121,0.0,0,0.0,0.0
23.0,C,RUNNING,19.848,0,0,0,3,0.0,5.0,100.0,2096.4121,0.0,0,0.0,0.0
24.0,C,RUNNING,20.848,0,0,0,3,0.0,5.0,100.0,2095.4121,0.0,0,0.0,0.0
25.0,C,RUNNING,21.848,0,0,0,3,0.0,5.0,100.0,2094.4121,0.0,0,0.0,0.0
26.0,C,RUNNING,22.848,0,0,0,3,0.0,5.0,100.0,2093.4121,0.0,0,0.0,0.0
27.0,C,RUNNING,23.852,0,0,0,3,0.0,5.0,100.0,2092.4081,0.0,0,0.0,0.0
28.01,C,RUNNING,24.856,0,0,0,3,0.0,5.0,100.0,2091.4041,0.0,0,0.0,0.0
29.0,C,RUNNING,25.848,0,0,0,3,0.0,5.0,100.0,2090.4121,0.0,0,0.0,0.0
30.0,C,RUNNING,26.848,0,0,0,3,0.0,5.0,100.0,2089.4121,0.0,0,0.0,0.0
31.0,C,RUNNING,27.848,0,0,0,3,0.0,5.0,100.0,2088.4121,0.0,0,0.0,0.0
32.0,C,RUNNING,28.848,0,0,0,3,0.0,5.0,100.0,2087.4121,0.0,0,0.0,0.0
33.0,C,RUNNING,29.848,0,0,0,3,0.0,5.0,100.0,2086.4121,0.0,0,0.0,0.0
34.0,C,RUNNING,30.848,0,0,0,3,0.0,5.0,100.0,2085.4121,0.0,0,0.0,0.0
35.0,C,RUNNING,31.848,0,0,0,3,0.0,5.0,100.0,2084.4121,0.0,0,0.0,0.0
36.0,C,RUNNING,32.848,0,0,0,3,0.0,5.0,100.0,2083.4121,0.0,0,0.0,0.0
37.0,C,RUNNING,33.852,0,0,0,3,0.0,5.0,100.0,2082.4081,0.0,0,0.0,0.0
38.0,C,RUNNING,34.848,0,0,0,3,0.0,5.0,100.0,2081.4121,0.0,0,0.0,0.0
39.0,C,RUNNING,35.848,0,0,0,3,0.0,5.0,100.0,2080.4121,0.0,0,0.0,0.0
40.0,C,RUNNING,36.848,0,0,0,3,0.0,5.0,100.0,2079.4121,0.0,0,0.0,0.0
41.0,C,RUNNING,37.848,0,0,0,3,0.0,5.0,100.0,2078.4121,0.0,0,0.0,0.0
42.0,C,RUNNING,38.848,0,0,0,3,0.0,5.0,100.0,2077.4121,0.0,0,0.0,0.0
43.0,C,RUNNING,39.848,0,0,0,3,0.0,5.0,100.0,2076.4121,0.0,0,0.0,0.0
44.0,C,RUNNING,40.848,0,0,0,3,0.0,5.0,100.0,2075.4121,0.0,0,0.0,0.0
45.0,C,RUNNING,41.848,0,0,0,3,0.0,5.0,100.0,2074.4121,0.0,0,0.0,0.0
46.0,C,RUNNING,42.848,0,0,0,3,0.0,5.0,100.0,2073.4121,0.0,0,0.0,0.0
47.0,C,RUNNING,43.848,0,0,0,3,0.0,5.0,100.0,2072.4121,0.0,0,0.0,0.0
48.0,C,RUNNING,44.848,0,0,0,3,0.0,5.0,100.0,2071.4121,0.0,0,0.0,0.0
49.0,C,RUNNING,45.848,0,0,0,3,0.0,5.0,100.0,2070.4121,0.0,0,0.0,0.0
50.0,C,RUNNING,46.848,0,0,0,3,0.0,5.0,100.0,2069.4121,0.0,0,0.0,0.0
51.0,C,RUNNING,47.848,0,0,0,3,0.0,5.0,100.0,2068.4121,0.0,0,0.0,0.0
52.0,C,RUNNING,48.848,0,0,0,3,0.0,5.0,100.0,2067.4121,0.0,0,0.0,0.0
53.0,C,RUNNING,49.848,0,0,0,3,0.0,5.0,100.0,2066.4121,0.0,0,0.0,0.0
54.0,C,RUNNING,50.848,0,0,0,3,0.0,5.0,100.0,2065.4121,0.0,0,0.0,0.0
55.0,C,RUNNING,51.848,0,0,0,3,0.0,5.0,100.0,2064.4121,0.0,0,0.0,0.0
56.0,C,RUNNING,52.848,0,0,0,3,0.0,5.0,100.0,2063.4121,0.0,0,0.0,0.0
57.0,C,RUNNING,53.848,0,0,0,3,0.0,5.0,100.0,2062.4121,0.0,0,0.0,0.0
58.0,C,RUNNING,54.848,0,0,0,3,0.0,5.0,100.0,2061.4121,0.0,0,0.0,0.0
59.0,C,RUNNING,55.848,0,0,0,3,0.0,5.0,100.0,2060.4121,0.0,0,0.0,0.0
60.0,C,RUNNING,56.848,0,0,0,3,0.0,5.0,100.0,2059.4121,0.0,0,0.0,0.0
61.0,C,RUNNING,57.848,0,0,0,3,0.0,5.0,100.0,2058.4121,0.0,0,0.0,0.0
62.0,C,RUNNING,58.848,0,0,0,3,0.0,5.0,100.0,2057.4121,0.0,0,0.0,0.0
63.0,C,RUNNING,59.848,0,0,0,3,0.0,5.0,100.0,2056.4121,0.0,0,0.0,0.0
64.0,C,RUNNING,60.848,0,0,0,3,0.0,5.0,100.0,2055.4121,0.0,0,0.0,0.0
65.0,C,RUNNING,61.848,0,0,0,3,0.0,5.0,100.0,2054.4121,0.0,0,0.0,0.0
66.0,C,RUNNING,62.848,0,0,0,3,0.0,5.0,100.0,2053.4121,0.0,0,0.0,0.0
67.0,C,RUNNING,63.848,0,0,0,3,0.0,5.0,100.0,2052.4121,0.0,0,0.0,0.0
68.0,C,RUNNING,64.848,0,0,0,3,0.0,5.0,100.0,2051.4121,0.0,0,0.0,0.0
69.0,C,RUNNING,65.848,0,0,0,3,0.0,5.0,100.0,2050.4121,0.0,0,0.0,0.0
70.0,C,RUNNING,66.848,0,0,0,3,0.0,5.0,100.0,2049.4121,0.0,0,0.0,0.0
71.0,C,RUNNING,67.848,0,0,0,3,0.0,5.0,100.0,2048.4121,0.0,0,0.0,0.0
72.0,C,RUNNING,68.848,0,0,0,3,0.0,5.0,100.0,2047.4121,0.0,0,0.0,0.0
73.0,C,RUNNING,69.848,0,0,0,3,0.0,5.0,100.0,2046.4121,0.0,0,0.0,0.0
74.0,C,RUNNING,70.848,0,0,0,3,0.0,5.0,100.0,2045.4121,0.0,0,0.0,0.0
75.0,C,RUNNING,71.848,0,0,0,3,0.0,5.0,100.0,2044.4121,0.0,0,0.0,0.0
76.0,C,RUNNING,72.848,0,0,0,3,0.0,5.0,100.0,2043.4121,0.0,0,0.0,0.0
77.0,C,RUNNING,73.848,0,0,0,3,0.0,5.0,100.0,2042.4121,0.0,0,0.0,0.0
