seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",10.98,62.93,68.92,14.989,15.18,0.18,0.1908,0.0,0.0,29.943,29.125,29.076,2.0,5,B,
2,DELIVER,delivery,SUCCEEDED,delivered 5 units,73.93,57.88,56.31,10.384,10.26,0.1726,0.1689,0.0,0.0,29.125,28.34,28.357,0.0,5,delivery,
3,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",131.82,54.29,55.67,10.011,10.01,0.1418,0.1428,0.0,0.0,28.34,27.696,27.691,2.0,4,A,
4,DELIVER,delivery,SUCCEEDED,delivered 4 units,186.12,58.28,55.67,10.207,10.01,0.1714,0.1661,0.0,0.0,27.696,26.917,26.941,0.0,4,delivery,
5,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",244.42,54.16,56.31,10.111,10.26,0.1406,0.1451,0.0,0.0,26.917,26.278,26.257,0.8,2,B,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,298.58,57.7,56.31,10.325,10.26,0.158,0.1547,0.0,0.0,26.278,25.559,25.575,0.0,2,delivery,
7,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",356.28,47.7,46.15,6.323,6.3,0.1101,0.1085,0.0,0.0,25.559,25.059,25.066,1.5,1,C,
8,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",403.98,66.46,69.9,15.683,15.56,0.218,0.2218,0.0,0.0,25.059,24.068,24.051,2.5,2,A,
9,DELIVER,delivery,SUCCEEDED,delivered 3 units,470.45,57.39,55.67,10.215,10.01,0.1764,0.1724,0.0,0.0,24.068,23.266,23.284,0.0,3,delivery,
10,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",527.84,54.38,56.31,10.08,10.26,0.1426,0.1456,0.0,0.0,23.266,22.618,22.604,1.2,3,B,
11,DELIVER,delivery,SUCCEEDED,delivered 3 units,582.22,57.24,56.31,10.243,10.26,0.1612,0.1601,0.0,0.0,22.618,21.886,21.89,0.0,3,delivery,
12,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",639.46,54.29,55.67,10.092,10.01,0.1411,0.1434,0.0,0.0,21.886,21.244,21.234,0.5,1,A,
13,DELIVER,delivery,SUCCEEDED,delivered 1 units,693.75,57.88,55.67,10.203,10.01,0.1544,0.1493,0.0,0.0,21.244,20.542,20.565,0.0,1,delivery,
14,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",751.64,54.29,56.31,10.102,10.26,0.1413,0.1458,0.0,0.0,20.542,19.9,19.879,0.4,1,B,
15,DELIVER,delivery,SUCCEEDED,delivered 1 units,805.94,57.84,56.31,10.278,10.26,0.1537,0.1507,0.0,0.0,19.9,19.201,19.215,0.0,1,delivery,
16,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",863.78,47.45,46.15,6.271,6.3,0.1119,0.1089,0.0,0.0,19.201,18.693,18.706,1.5,1,C,
17,DELIVER,delivery,SUCCEEDED,delivered 1 units,911.23,48.35,46.15,6.397,6.3,0.1239,0.1201,0.0,0.0,18.693,18.13,18.147,0.0,1,delivery,
18,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",959.58,54.9,55.67,10.082,10.01,0.143,0.1436,0.0,0.0,18.13,17.48,17.477,1.0,2,A,
19,WAIT,,SUCCEEDED,waited 60 s at A,1014.49,61.23,60.0,0.0,0.0,0.1016,0.1,0.0,0.0,17.48,17.018,17.025,1.0,0,A,
20,CHARGE,charger,SUCCEEDED,charged to 40.0 %,1075.72,1003.64,999.2,9.358,9.04,0.1019,0.0952,5.1617,5.1512,17.018,40.017,40.0,1.0,0,charger,
