seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location
1,PICKUP,C,SUCCEEDED,"nothing taken, 0 left",9.98,56.18,58.9,11.303,11.27,0.1515,0.1545,0.0,0.0,99.962,99.273,99.26,0.0,0,C
2,DELIVER,delivery,SUCCEEDED,delivered 0 units,66.16,48.26,46.15,6.46,6.3,0.1123,0.1084,0.0,0.0,99.273,98.762,98.78,0.0,0,delivery
3,CHARGE,charger,SUCCEEDED,charged to 100.0 %,114.43,76.05,73.64,5.24,5.1,0.0509,0.0473,0.3216,0.3197,98.762,99.992,100.0,0.0,0,charger
