seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location
1,PICKUP,C,SUCCEEDED,"nothing taken, 0 left",12.15,56.21,58.9,11.325,11.27,0.15,0.1545,0.0,0.0,99.933,99.251,99.231,0.0,0,C
2,DELIVER,delivery,SUCCEEDED,delivered 0 units,68.37,48.15,46.15,6.429,6.3,0.1122,0.1084,0.0,0.0,99.251,98.742,98.758,0.0,0,delivery
3,CHARGE,charger,SUCCEEDED,charged to 100.0 %,116.52,78.1,74.48,5.241,5.1,0.0507,0.0473,0.3259,0.3241,98.742,99.992,100.0,0.0,0,charger
