sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
2.66,A,RUNNING,0.0,0,0,4,8,0.5,20.0,100.0,701.6008,0.0,0,0.0,0.0
3.0,A,RUNNING,0.34,0,0,4,8,0.5,20.0,100.0,701.2608,0.0,0,0.0,0.0
4.0,A,RUNNING,1.34,0,0,4,8,0.5,20.0,100.0,700.2608,0.0,0,0.0,0.0
5.0,A,RUNNING,2.34,0,0,4,8,0.5,20.0,100.0,699.2608,0.0,0,0.0,0.0
6.0,A,RUNNING,3.34,0,0,4,8,0.5,20.0,100.0,698.2608,0.0,0,0.0,0.0
7.0,A,RUNNING,4.34,0,0,4,8,0.5,20.0,100.0,697.2608,0.0,0,0.0,0.0
8.0,A,RUNNING,5.34,0,0,4,8,0.5,20.0,100.0,696.2608,0.0,0,0.0,0.0
9.0,A,RUNNING,6.34,0,0,4,8,0.5,20.0,100.0,695.2608,0.0,0,0.0,0.0
10.0,A,RUNNING,7.34,0,0,4,8,0.5,20.0,100.0,694.2608,0.0,0,0.0,0.0
11.0,A,RUNNING,8.34,0,0,4,8,0.5,20.0,100.0,693.2608,0.0,0,0.0,0.0
12.0,A,RUNNING,9.34,0,0,4,8,0.5,20.0,100.0,692.2608,0.0,0,0.0,0.0
13.0,A,RUNNING,10.34,0,0,4,8,0.5,20.0,100.0,691.2608,0.0,0,0.0,0.0
14.0,A,RUNNING,11.34,0,0,4,8,0.5,20.0,100.0,690.2608,0.0,0,0.0,0.0
15.0,A,RUNNING,12.344,0,0,4,8,0.5,20.0,100.0,689.2568,0.0,0,0.0,0.0
16.0,A,RUNNING,13.34,0,0,4,8,0.5,20.0,100.0,688.2608,0.0,0,0.0,0.0
17.0,A,RUNNING,14.34,0,0,4,8,0.5,20.0,100.0,687.2608,0.0,0,0.0,0.0
18.0,A,RUNNING,15.34,0,0,4,8,0.5,20.0,100.0,686.2608,0.0,0,0.0,0.0
19.0,A,RUNNING,16.34,0,0,4,8,0.5,20.0,100.0,685.2608,0.0,0,0.0,0.0
20.0,A,RUNNING,17.34,0,0,4,8,0.5,20.0,100.0,684.2608,0.0,0,0.0,0.0
21.0,A,RUNNING,18.34,0,0,4,8,0.5,20.0,100.0,683.2608,0.0,0,0.0,0.0
