seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",15.3,63.2,68.92,15.052,15.18,0.1803,0.1908,0.0,0.0,99.898,99.079,99.031,0.8,2,B,
2,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",78.53,73.76,76.87,18.2,18.28,0.2312,0.2365,0.0,0.0,99.079,98.028,98.004,1.3,1,A,attempt 1: Nav2 aborted | recovery: clear costmaps
3,DELIVER,delivery,SUCCEEDED,delivered 3 units,152.33,57.69,55.67,10.361,10.01,0.1642,0.1579,0.0,0.0,98.028,97.282,97.31,0.0,3,delivery,
4,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",210.04,54.32,56.31,10.035,10.26,0.1402,0.1451,0.0,0.0,97.282,96.644,96.622,0.8,2,B,attempt 1: Nav2 aborted | recovery: clear costmaps
5,DELIVER,delivery,SUCCEEDED,delivered 2 units,264.38,57.1,56.31,10.167,10.26,0.1553,0.1547,0.0,0.0,96.644,95.938,95.941,0.0,2,delivery,attempt 1: Nav2 aborted | recovery: clear costmaps
6,CHARGE,charger,SUCCEEDED,charged to 100.0 %,321.49,197.68,191.37,5.259,5.1,0.0531,0.0474,0.945,0.941,95.938,99.992,100.0,0.0,0,charger,
7,PICKUP,A,SUCCEEDED,"took 3 units (1.50 kg), 0 left",519.19,51.08,53.18,8.982,9.04,0.1299,0.1338,0.0,0.0,99.992,99.402,99.384,1.5,3,A,
8,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",570.29,80.51,76.87,19.337,18.28,0.2644,0.2515,0.0,0.0,99.402,98.2,98.259,2.7,3,B,attempt 1: Nav2 aborted | recovery: clear costmaps | attempt 2: Nav2 aborted | recovery: back up (backed up)
9,DELIVER,delivery,SUCCEEDED,delivered 6 units,650.82,56.8,56.31,10.217,10.26,0.1787,0.1777,0.0,0.0,98.2,97.388,97.392,0.0,6,delivery,
10,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",707.64,53.34,56.31,9.971,10.26,0.1386,0.1455,0.0,0.0,97.388,96.758,96.727,0.4,1,B,
11,DELIVER,delivery,SUCCEEDED,delivered 1 units,761.0,57.08,56.31,10.138,10.26,0.1526,0.1504,0.0,0.0,96.758,96.064,96.074,0.0,1,delivery,attempt 1: Nav2 aborted | recovery: clear costmaps
12,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",818.11,53.38,56.31,9.995,10.26,0.1389,0.1457,0.0,0.0,96.064,95.433,95.402,0.4,1,B,
13,DELIVER,delivery,SUCCEEDED,delivered 1 units,871.51,57.25,56.31,10.284,10.26,0.1519,0.1505,0.0,0.0,95.433,94.742,94.749,0.0,1,delivery,
14,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",928.77,54.34,55.67,10.069,10.01,0.1427,0.1435,0.0,0.0,94.742,94.094,94.09,1.0,2,A,
15,DELIVER,delivery,SUCCEEDED,delivered 2 units,983.13,56.63,55.67,10.241,10.01,0.1574,0.1553,0.0,0.0,94.094,93.378,93.388,0.0,2,delivery,
