seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",16.54,62.72,68.92,14.937,15.18,0.1797,0.1908,0.0,0.0,99.896,99.079,99.029,0.8,2,B,
2,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",79.26,70.63,76.87,17.765,18.28,0.2221,0.2365,0.0,0.0,99.079,98.07,98.004,1.3,1,A,
3,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",149.9,75.21,76.87,19.369,18.28,0.2528,0.2471,0.0,0.0,98.07,96.921,96.947,2.1,2,B,
4,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",225.12,70.58,76.87,17.713,18.28,0.2488,0.2641,0.0,0.0,96.921,95.79,95.72,2.6,1,A,
5,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",295.71,81.36,76.87,19.809,18.28,0.2969,0.2753,0.0,0.0,95.79,94.441,94.538,3.0,1,B,
6,DELIVER,delivery,SUCCEEDED,delivered 7 units,377.08,56.57,56.31,10.178,10.26,0.1805,0.1816,0.0,0.0,94.441,93.62,93.615,0.0,7,delivery,
7,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",433.66,53.53,56.31,10.056,10.26,0.1409,0.1457,0.0,0.0,93.62,92.979,92.958,0.4,1,B,
8,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",487.2,73.8,76.87,18.482,18.28,0.2258,0.2292,0.0,0.0,92.979,91.953,91.937,0.9,1,A,
9,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",561.02,70.44,76.87,17.69,18.28,0.2254,0.2402,0.0,0.0,91.953,90.929,90.861,1.3,1,B,
10,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",631.46,70.64,76.87,17.778,18.28,0.2363,0.2491,0.0,0.0,90.929,89.854,89.797,1.8,1,A,
11,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",702.14,74.88,76.87,19.416,18.28,0.2658,0.2603,0.0,0.0,89.854,88.647,88.671,2.2,1,B,
12,DELIVER,delivery,SUCCEEDED,delivered 5 units,777.04,56.5,56.31,10.164,10.26,0.1719,0.1731,0.0,0.0,88.647,87.865,87.86,0.0,5,delivery,
13,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",833.54,53.77,56.31,10.06,10.26,0.1415,0.1464,0.0,0.0,87.865,87.222,87.2,0.4,1,B,
14,DELIVER,delivery,SUCCEEDED,delivered 1 units,887.32,56.78,56.31,10.18,10.26,0.1521,0.1513,0.0,0.0,87.222,86.531,86.534,0.0,1,delivery,
15,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",944.11,47.35,46.15,6.194,6.3,0.1101,0.1092,0.0,0.0,86.531,86.03,86.035,1.5,1,C,
16,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",991.46,52.03,53.69,9.057,9.24,0.1493,0.1533,0.0,0.0,86.03,85.352,85.333,1.9,1,B,
17,DELIVER,delivery,SUCCEEDED,delivered 2 units,1043.5,56.58,56.31,10.132,10.26,0.1698,0.1696,0.0,0.0,85.352,84.579,84.581,0.0,2,delivery,
18,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",1100.08,53.36,55.67,9.815,10.01,0.1388,0.1441,0.0,0.0,84.579,83.949,83.924,1.0,2,A,
19,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",1153.45,107.0,76.87,20.26,18.28,0.3068,0.2436,0.0,0.0,83.949,82.554,82.842,1.8,2,B,
