seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",14.76,63.61,68.92,15.031,15.18,0.1818,0.1908,0.0,0.0,99.925,99.099,99.058,0.8,2,B,attempt 1: Nav2 aborted | recovery: clear costmaps
2,DELIVER,delivery,SUCCEEDED,delivered 2 units,78.39,57.76,56.31,10.285,10.26,0.1577,0.1547,0.0,0.0,99.099,98.382,98.396,0.0,2,delivery,
3,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",136.15,53.85,56.31,10.049,10.26,0.1403,0.1451,0.0,0.0,98.382,97.745,97.722,0.4,1,B,
4,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",190.01,72.47,76.87,18.269,18.28,0.2199,0.228,0.0,0.0,97.745,96.745,96.709,1.4,2,A,
5,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",262.49,75.89,76.87,18.744,18.28,0.2513,0.2493,0.0,0.0,96.745,95.603,95.612,1.8,1,B,
6,DELIVER,delivery,SUCCEEDED,delivered 4 units,338.38,57.46,56.31,10.296,10.26,0.1684,0.1669,0.0,0.0,95.603,94.837,94.844,0.0,4,delivery,
7,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",395.85,53.89,56.31,10.037,10.26,0.1406,0.1455,0.0,0.0,94.837,94.198,94.176,0.4,1,B,
