seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",15.08,63.25,68.92,15.037,15.18,0.1802,0.1908,0.0,0.0,99.912,99.093,99.045,0.8,2,B,
2,DELIVER,delivery,SUCCEEDED,delivered 2 units,78.35,56.9,56.31,10.207,10.26,0.1555,0.1547,0.0,0.0,99.093,98.386,98.39,0.0,2,delivery,
3,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",135.27,53.91,56.31,10.091,10.26,0.1405,0.1451,0.0,0.0,98.386,97.747,97.726,0.4,1,B,
4,DELIVER,delivery,SUCCEEDED,delivered 1 units,189.19,57.68,56.31,10.226,10.26,0.1509,0.1499,0.0,0.0,97.747,97.062,97.066,0.0,1,delivery,
5,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",246.88,55.25,55.67,10.208,10.01,0.1444,0.1428,0.0,0.0,97.062,96.405,96.413,1.0,2,A,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,302.13,57.78,55.67,10.353,10.01,0.1589,0.1545,0.0,0.0,96.405,95.683,95.703,0.0,2,delivery,
7,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",359.94,53.72,56.31,10.082,10.26,0.1407,0.1453,0.0,0.0,95.683,95.043,95.023,0.8,2,B,
8,DELIVER,delivery,SUCCEEDED,delivered 2 units,413.66,57.78,56.31,10.237,10.26,0.1577,0.1549,0.0,0.0,95.043,94.326,94.339,0.0,2,delivery,
9,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",471.46,54.02,56.31,10.038,10.26,0.1406,0.1455,0.0,0.0,94.326,93.687,93.665,0.4,1,B,
10,DELIVER,delivery,SUCCEEDED,delivered 1 units,525.48,58.17,56.31,10.329,10.26,0.1536,0.1503,0.0,0.0,93.687,92.989,93.004,0.0,1,delivery,
11,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",583.66,54.27,55.67,10.055,10.01,0.1408,0.1433,0.0,0.0,92.989,92.349,92.338,1.0,2,A,
12,DELIVER,delivery,SUCCEEDED,delivered 2 units,637.94,57.85,55.67,10.245,10.01,0.1605,0.1551,0.0,0.0,92.349,91.62,91.644,0.0,2,delivery,
13,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",695.8,54.1,56.31,10.095,10.26,0.1411,0.1457,0.0,0.0,91.62,90.978,90.958,0.8,2,B,
14,DELIVER,delivery,SUCCEEDED,delivered 2 units,749.9,57.6,56.31,10.273,10.26,0.1585,0.1555,0.0,0.0,90.978,90.258,90.271,0.0,2,delivery,
15,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",807.5,47.46,46.15,6.267,6.3,0.1101,0.1089,0.0,0.0,90.258,89.757,89.763,1.5,1,C,
16,DELIVER,delivery,SUCCEEDED,delivered 1 units,854.96,48.37,46.15,6.377,6.3,0.1253,0.12,0.0,0.0,89.757,89.188,89.212,0.0,1,delivery,
17,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",903.34,53.96,55.67,9.962,10.01,0.1407,0.1436,0.0,0.0,89.188,88.548,88.535,1.0,2,A,
