sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
3.16,B,RUNNING,0.0,0,0,5,10,0.5,30.0,100.0,575.8548,0.0,0,0.0,0.0
4.0,B,RUNNING,0.836,0,0,5,10,0.5,30.0,100.0,575.0188,0.0,0,0.0,0.0
5.0,B,RUNNING,1.836,0,0,5,10,0.5,30.0,100.0,574.0188,0.0,0,0.0,0.0
6.0,B,RUNNING,2.836,0,0,5,10,0.5,30.0,100.0,573.0188,0.0,0,0.0,0.0
7.0,B,RUNNING,3.836,0,0,5,10,0.5,30.0,100.0,572.0188,0.0,0,0.0,0.0
8.0,B,RUNNING,4.836,0,0,5,10,0.5,30.0,100.0,571.0188,0.0,0,0.0,0.0
9.0,B,RUNNING,5.836,0,0,5,10,0.5,30.0,100.0,570.0188,0.0,0,0.0,0.0
10.0,B,RUNNING,6.836,0,0,5,10,0.5,30.0,100.0,569.0188,0.0,0,0.0,0.0
11.0,B,RUNNING,7.836,0,0,5,10,0.5,30.0,100.0,568.0188,0.0,0,0.0,0.0
12.0,B,RUNNING,8.836,0,0,5,10,0.5,30.0,100.0,567.0188,0.0,0,0.0,0.0
13.0,B,RUNNING,9.836,0,0,5,10,0.5,30.0,100.0,566.0188,0.0,0,0.0,0.0
14.0,B,RUNNING,10.836,0,0,5,10,0.5,30.0,100.0,565.0188,0.0,0,0.0,0.0
15.0,B,RUNNING,11.836,0,0,5,10,0.5,30.0,100.0,564.0188,0.0,0,0.0,0.0
16.0,B,RUNNING,12.836,0,0,5,10,0.5,30.0,100.0,563.0188,0.0,0,0.0,0.0
17.0,B,RUNNING,13.836,0,0,5,10,0.5,30.0,100.0,562.0188,0.0,0,0.0,0.0
18.0,B,RUNNING,14.836,0,0,5,10,0.5,30.0,100.0,561.0188,0.0,0,0.0,0.0
19.0,B,RUNNING,15.836,0,0,5,10,0.5,30.0,100.0,560.0188,0.0,0,0.0,0.0
20.0,B,RUNNING,16.836,0,0,5,10,0.5,30.0,100.0,559.0188,0.0,0,0.0,0.0
21.0,B,RUNNING,17.836,0,0,5,10,0.5,30.0,100.0,558.0188,0.0,0,0.0,0.0
22.0,B,RUNNING,18.836,0,0,5,10,0.5,30.0,100.0,557.0188,0.0,0,0.0,0.0
23.0,B,RUNNING,19.836,0,0,5,10,0.5,30.0,100.0,556.0188,0.0,0,0.0,0.0
24.0,B,RUNNING,20.836,0,0,5,10,0.5,30.0,100.0,555.0188,0.0,0,0.0,0.0
25.0,B,RUNNING,21.836,0,0,5,10,0.5,30.0,100.0,554.0188,0.0,0,0.0,0.0
26.0,B,RUNNING,22.836,0,0,5,10,0.5,30.0,100.0,553.0188,0.0,0,0.0,0.0
27.0,B,RUNNING,23.836,0,0,5,10,0.5,30.0,100.0,552.0188,0.0,0,0.0,0.0
28.0,B,RUNNING,24.836,0,0,5,10,0.5,30.0,100.0,551.0188,0.0,0,0.0,0.0
29.0,B,RUNNING,25.836,0,0,5,10,0.5,30.0,100.0,550.0188,0.0,0,0.0,0.0
30.0,B,RUNNING,26.836,0,0,5,10,0.5,30.0,100.0,549.0188,0.0,0,0.0,0.0
31.0,B,RUNNING,27.836,0,0,5,10,0.5,30.0,100.0,548.0188,0.0,0,0.0,0.0
32.0,B,RUNNING,28.836,0,0,5,10,0.5,30.0,100.0,547.0188,0.0,0,0.0,0.0
33.0,B,RUNNING,29.836,0,0,5,10,0.5,30.0,100.0,546.0188,0.0,0,0.0,0.0
34.0,B,RUNNING,30.836,0,0,5,10,0.5,30.0,100.0,545.0188,0.0,0,0.0,0.0
35.0,B,RUNNING,31.836,0,0,5,10,0.5,30.0,100.0,544.0188,0.0,0,0.0,0.0
36.0,B,RUNNING,32.836,0,0,5,10,0.5,30.0,100.0,543.0188,0.0,0,0.0,0.0
37.0,B,RUNNING,33.836,0,0,5,10,0.5,30.0,100.0,542.0188,0.0,0,0.0,0.0
38.0,B,RUNNING,34.836,0,0,5,10,0.5,30.0,100.0,541.0188,0.0,0,0.0,0.0
39.0,B,RUNNING,35.836,0,0,5,10,0.5,30.0,100.0,540.0188,0.0,0,0.0,0.0
40.0,B,RUNNING,36.836,0,0,5,10,0.5,30.0,100.0,539.0188,0.0,0,0.0,0.0
41.0,B,RUNNING,37.836,0,0,5,10,0.5,30.0,100.0,538.0188,0.0,0,0.0,0.0
42.0,B,RUNNING,38.836,0,0,5,10,0.5,30.0,100.0,537.0188,0.0,0,0.0,0.0
43.0,B,RUNNING,39.836,0,0,5,10,0.5,30.0,100.0,536.0188,0.0,0,0.0,0.0
44.0,B,RUNNING,40.836,0,0,5,10,0.5,30.0,100.0,535.0188,0.0,0,0.0,0.0
45.0,B,RUNNING,41.836,0,0,5,10,0.5,30.0,100.0,534.0188,0.0,0,0.0,0.0
46.0,B,RUNNING,42.836,0,0,5,10,0.5,30.0,100.0,533.0188,0.0,0,0.0,0.0
47.0,B,RUNNING,43.836,0,0,5,10,0.5,30.0,100.0,532.0188,0.0,0,0.0,0.0
48.0,B,RUNNING,44.836,0,0,5,10,0.5,30.0,100.0,531.0188,0.0,0,0.0,0.0
49.0,B,RUNNING,45.836,0,0,5,10,0.5,30.0,100.0,530.0188,0.0,0,0.0,0.0
50.0,B,RUNNING,46.836,0,0,5,10,0.5,30.0,100.0,529.0188,0.0,0,0.0,0.0
51.0,B,RUNNING,47.836,0,0,5,10,0.5,30.0,100.0,528.0188,0.0,0,0.0,0.0
52.0,B,RUNNING,48.836,0,0,5,10,0.5,30.0,100.0,527.0188,0.0,0,0.0,0.0
53.0,B,RUNNING,49.836,0,0,5,10,0.5,30.0,100.0,526.0188,0.0,0,0.0,0.0
54.0,B,RUNNING,50.836,0,0,5,10,0.5,30.0,100.0,525.0188,0.0,0,0.0,0.0
55.0,B,RUNNING,51.836,0,0,5,10,0.5,30.0,100.0,524.0188,0.0,0,0.0,0.0
56.0,B,RUNNING,52.836,0,0,5,10,0.5,30.0,100.0,523.0188,0.0,0,0.0,0.0
57.0,B,RUNNING,53.836,0,0,5,10,0.5,30.0,100.0,522.0188,0.0,0,0.0,0.0
58.0,B,RUNNING,54.836,0,0,5,10,0.5,30.0,100.0,521.0188,0.0,0,0.0,0.0
59.0,B,RUNNING,55.836,0,0,5,10,0.5,30.0,100.0,520.0188,0.0,0,0.0,0.0
60.0,B,RUNNING,56.836,0,0,5,10,0.5,30.0,100.0,519.0188,0.0,0,0.0,0.0
61.0,B,RUNNING,57.836,0,0,5,10,0.5,30.0,100.0,518.0188,0.0,0,0.0,0.0
62.0,B,RUNNING,58.836,0,0,5,10,0.5,30.0,100.0,517.0188,0.0,0,0.0,0.0
63.0,B,RUNNING,59.836,0,0,5,10,0.5,30.0,100.0,516.0188,0.0,0,0.0,0.0
64.0,B,RUNNING,60.836,0,0,5,10,0.5,30.0,100.0,515.0188,0.0,0,0.0,0.0
65.0,B,RUNNING,61.836,0,0,5,10,0.5,30.0,100.0,514.0188,0.0,0,0.0,0.0
66.0,B,RUNNING,62.836,0,0,5,10,0.5,30.0,100.0,513.0188,0.0,0,0.0,0.0
67.0,B,RUNNING,63.836,0,0,5,10,0.5,30.0,100.0,512.0188,0.0,0,0.0,0.0
68.0,B,RUNNING,64.836,0,0,5,10,0.5,30.0,100.0,511.0188,0.0,0,0.0,0.0
69.0,B,RUNNING,65.836,0,0,5,10,0.5,30.0,100.0,510.0188,0.0,0,0.0,0.0
70.0,B,RUNNING,66.836,0,0,5,10,0.5,30.0,100.0,509.0188,0.0,0,0.0,0.0
71.0,B,RUNNING,67.836,0,0,5,10,0.5,30.0,100.0,508.0188,0.0,0,0.0,0.0
72.0,B,RUNNING,68.836,0,0,5,10,0.5,30.0,100.0,507.0188,0.0,0,0.0,0.0
73.0,B,RUNNING,69.836,0,0,5,10,0.5,30.0,100.0,506.0188,0.0,0,0.0,0.0
74.0,B,RUNNING,70.836,0,0,5,10,0.5,30.0,100.0,505.0188,0.0,0,0.0,0.0
75.0,B,RUNNING,71.836,0,0,5,10,0.5,30.0,100.0,504.0188,0.0,0,0.0,0.0
76.0,B,RUNNING,72.836,0,0,5,10,0.5,30.0,100.0,503.0188,0.0,0,0.0,0.0
77.0,B,RUNNING,73.836,0,5,0,10,0.0,30.0,100.0,1102.0188,0.0,0,0.0,0.0
78.0,B,RUNNING,74.836,0,5,0,10,0.0,30.0,100.0,1101.0188,0.0,0,0.0,0.0
79.0,B,RUNNING,75.836,0,5,0,10,0.0,30.0,100.0,1100.0188,0.0,0,0.0,0.0
80.0,B,RUNNING,76.836,0,5,0,10,0.0,30.0,100.0,1099.0188,0.0,0,0.0,0.0
81.0,B,RUNNING,77.836,0,5,0,10,0.0,30.0,100.0,1098.0188,0.0,0,0.0,0.0
82.0,B,RUNNING,78.836,0,5,0,10,0.0,30.0,100.0,1097.0188,0.0,0,0.0,0.0
83.0,B,RUNNING,79.836,0,5,0,10,0.0,30.0,100.0,1096.0188,0.0,0,0.0,0.0
84.0,B,RUNNING,80.836,0,5,0,10,0.0,30.0,100.0,1095.0188,0.0,0,0.0,0.0
85.0,B,RUNNING,81.836,0,5,0,10,0.0,30.0,100.0,1094.0188,0.0,0,0.0,0.0
86.0,B,RUNNING,82.836,0,5,0,10,0.0,30.0,100.0,1093.0188,0.0,0,0.0,0.0
87.0,B,RUNNING,83.836,0,5,0,10,0.0,30.0,100.0,1092.0188,0.0,0,0.0,0.0
88.0,B,RUNNING,84.836,0,5,0,10,0.0,30.0,100.0,1091.0188,0.0,0,0.0,0.0
89.0,B,RUNNING,85.836,0,5,0,10,0.0,30.0,100.0,1090.0188,0.0,0,0.0,0.0
90.0,B,RUNNING,86.836,0,5,0,10,0.0,30.0,100.0,1089.0188,0.0,0,0.0,0.0
91.0,B,RUNNING,87.836,0,5,0,10,0.0,30.0,100.0,1088.0188,0.0,0,0.0,0.0
92.0,B,RUNNING,88.836,0,5,0,10,0.0,30.0,100.0,1087.0188,0.0,0,0.0,0.0
93.0,B,RUNNING,89.836,0,5,0,10,0.0,30.0,100.0,1086.0188,0.0,0,0.0,0.0
94.0,B,RUNNING,90.836,0,5,0,10,0.0,30.0,100.0,1085.0188,0.0,0,0.0,0.0
