seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",14.3,62.99,68.92,14.988,15.18,0.1799,0.1908,0.0,0.0,29.917,29.099,29.05,2.0,5,B,
2,DELIVER,delivery,SUCCEEDED,delivered 5 units,77.29,57.75,56.31,10.213,10.26,0.1714,0.1689,0.0,0.0,29.099,28.32,28.331,0.0,5,delivery,
3,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",135.05,54.12,55.67,10.039,10.01,0.1403,0.1428,0.0,0.0,28.32,27.682,27.671,2.0,4,A,
4,DELIVER,delivery,SUCCEEDED,delivered 4 units,189.18,57.79,55.67,10.178,10.01,0.1695,0.1661,0.0,0.0,27.682,26.912,26.927,0.0,4,delivery,
5,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",246.98,54.27,56.31,10.116,10.26,0.1423,0.1451,0.0,0.0,26.912,26.265,26.252,1.2,3,B,
6,DELIVER,delivery,SUCCEEDED,delivered 3 units,301.26,58.47,56.31,10.311,10.26,0.1627,0.1595,0.0,0.0,26.265,25.525,25.54,0.0,3,delivery,
7,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",359.73,47.26,46.15,6.269,6.3,0.1099,0.1085,0.0,0.0,25.525,25.026,25.032,1.5,1,C,
8,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",407.0,66.38,69.9,15.608,15.56,0.2159,0.2218,0.0,0.0,25.019,24.037,24.011,2.5,2,A,
9,DELIVER,delivery,SUCCEEDED,delivered 3 units,473.38,57.12,55.67,10.058,10.01,0.1751,0.1724,0.0,0.0,24.037,23.241,23.253,0.0,3,delivery,
10,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",530.52,54.13,56.31,10.139,10.26,0.1412,0.1456,0.0,0.0,23.241,22.6,22.579,0.8,2,B,
11,DELIVER,delivery,SUCCEEDED,delivered 2 units,584.66,57.36,56.31,10.194,10.26,0.1578,0.1553,0.0,0.0,22.6,21.882,21.894,0.0,2,delivery,
12,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",642.03,54.18,55.67,10.015,10.01,0.1407,0.1434,0.0,0.0,21.882,21.243,21.23,0.5,1,A,
13,DELIVER,delivery,SUCCEEDED,delivered 1 units,696.22,57.76,55.67,10.256,10.01,0.153,0.1493,0.0,0.0,21.243,20.547,20.564,0.0,1,delivery,
14,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",753.99,53.81,56.31,10.024,10.26,0.1409,0.1458,0.0,0.0,20.547,19.907,19.884,0.8,2,B,
15,DELIVER,delivery,SUCCEEDED,delivered 2 units,807.8,57.86,56.31,10.247,10.26,0.1584,0.1556,0.0,0.0,19.907,19.187,19.2,0.0,2,delivery,
16,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",865.67,47.39,46.15,6.286,6.3,0.112,0.1089,0.0,0.0,19.187,18.678,18.692,1.5,1,C,
17,DELIVER,delivery,SUCCEEDED,delivered 1 units,913.06,48.37,46.15,6.444,6.3,0.1242,0.1201,0.0,0.0,18.678,18.113,18.132,0.0,1,delivery,
18,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",961.44,54.06,55.67,9.99,10.01,0.1408,0.1436,0.0,0.0,18.113,17.473,17.46,0.5,1,A,
19,WAIT,,SUCCEEDED,waited 60 s at A,1015.51,61.2,60.0,0.0,0.0,0.1017,0.1,0.0,0.0,17.473,17.011,17.018,0.5,0,A,
20,CHARGE,charger,SUCCEEDED,charged to 40.0 %,1076.72,1003.44,998.48,9.273,9.04,0.0975,0.0898,5.1564,5.1474,17.011,40.006,40.0,0.5,0,charger,
