seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 3 units (1.80 kg), 0 left",11.93,63.09,68.92,15.036,15.18,0.1819,0.1908,0.0,0.0,49.944,49.117,49.077,1.8,3,B,
2,DELIVER,delivery,SUCCEEDED,delivered 3 units,75.03,56.61,56.31,10.163,10.26,0.1653,0.1666,0.0,0.0,49.117,48.366,48.36,0.0,3,delivery,
3,PICKUP,A,SUCCEEDED,"took 2 units (1.60 kg), 0 left",131.64,53.27,55.67,9.822,10.01,0.1375,0.1428,0.0,0.0,48.366,47.741,47.717,1.6,2,A,
4,DELIVER,delivery,SUCCEEDED,delivered 2 units,184.92,56.35,55.67,9.899,10.01,0.1629,0.1614,0.0,0.0,47.741,47.0,47.007,0.0,2,delivery,
5,PICKUP,B,SUCCEEDED,"took 3 units (1.80 kg), 0 left",241.28,53.77,56.31,10.084,10.26,0.1405,0.1451,0.0,0.0,47.0,46.362,46.34,1.8,3,B,
6,DELIVER,delivery,SUCCEEDED,delivered 3 units,295.05,56.86,56.31,10.217,10.26,0.1659,0.1666,0.0,0.0,46.362,45.608,45.605,0.0,3,delivery,
7,PICKUP,A,SUCCEEDED,"took 3 units (2.40 kg), 0 left",351.91,53.17,55.67,9.8,10.01,0.1392,0.143,0.0,0.0,45.608,44.975,44.958,2.4,3,A,
8,DELIVER,delivery,SUCCEEDED,delivered 3 units,405.09,56.57,55.67,9.918,10.01,0.1711,0.171,0.0,0.0,44.975,44.197,44.198,0.0,3,delivery,
9,PICKUP,B,SUCCEEDED,"took 4 units (2.40 kg), 0 left",461.67,53.24,56.31,9.973,10.26,0.1386,0.1455,0.0,0.0,44.197,43.567,43.536,2.4,4,B,
10,DELIVER,delivery,SUCCEEDED,delivered 4 units,514.92,56.86,56.31,10.211,10.26,0.1752,0.1743,0.0,0.0,43.567,42.771,42.775,0.0,4,delivery,
11,PICKUP,C,SUCCEEDED,"took 1 units (2.00 kg), 0 left",571.79,47.77,46.15,6.276,6.3,0.1117,0.1087,0.0,0.0,42.771,42.263,42.277,2.0,1,C,
12,PICKUP,A,SUCCEEDED,"took 2 units (1.60 kg), 0 left",619.57,65.46,69.9,15.559,15.56,0.2253,0.2315,0.0,0.0,42.263,41.239,41.211,3.6,2,A,
13,DELIVER,delivery,SUCCEEDED,delivered 3 units,685.04,56.16,55.67,9.849,10.01,0.1851,0.1858,0.0,0.0,41.239,40.398,40.394,0.0,3,delivery,
14,PICKUP,B,SUCCEEDED,"took 5 units (3.00 kg), 0 left",741.2,53.53,56.31,10.016,10.26,0.1392,0.1459,0.0,0.0,40.398,39.765,39.735,3.0,5,B,
