seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",17.49,63.16,68.92,15.016,15.18,0.1801,0.1908,0.0,0.0,29.888,29.07,29.021,2.0,5,B,
2,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",80.67,71.76,76.87,17.761,18.28,0.25,0.2619,0.0,0.0,29.07,27.933,27.879,4.0,4,A,
3,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",152.44,73.24,76.87,17.828,18.28,0.2937,0.3043,0.0,0.0,27.933,26.598,26.55,4.8,2,B,
4,DELIVER,delivery,SUCCEEDED,delivered 11 units,225.68,56.84,56.31,10.181,10.26,0.2029,0.2024,0.0,0.0,26.598,25.676,25.678,0.0,11,delivery,
5,CHARGE,charger,SUCCEEDED,charged to 40.0 %,282.52,624.42,619.14,5.287,5.1,0.0533,0.0474,3.2089,3.1987,25.676,40.02,40.0,0.0,0,charger,
6,PICKUP,B,SUCCEEDED,"took 6 units (2.40 kg), 0 left",906.96,62.82,68.92,15.039,15.18,0.1802,0.1908,0.0,0.0,40.02,39.2,39.153,2.4,6,B,
7,DELIVER,delivery,SUCCEEDED,delivered 6 units,969.79,56.49,56.31,10.122,10.26,0.1738,0.1737,0.0,0.0,39.2,38.411,38.41,0.0,6,delivery,
8,PICKUP,C,SUCCEEDED,"took 2 units (3.00 kg), 0 left",1026.3,47.31,46.15,6.272,6.3,0.1097,0.1084,0.0,0.0,38.411,37.912,37.918,3.0,2,C,
9,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",1073.63,52.35,53.69,9.242,9.24,0.1653,0.1679,0.0,0.0,37.912,37.16,37.149,3.4,1,B,
10,DELIVER,delivery,SUCCEEDED,delivered 3 units,1126.03,56.42,56.31,10.141,10.26,0.1844,0.1859,0.0,0.0,37.153,36.314,36.308,0.0,3,delivery,
11,PICKUP,A,SUCCEEDED,"took 6 units (3.00 kg), 0 left",1182.46,53.32,55.67,9.849,10.01,0.1379,0.1431,0.0,0.0,36.314,35.687,35.664,3.0,6,A,
