sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
2.58,B,RUNNING,0.0,0,0,5,10,0.5,30.0,100.0,575.8548,0.0,0,0.0,0.0
3.0,B,RUNNING,0.42,0,0,5,10,0.5,30.0,100.0,575.4348,0.0,0,0.0,0.0
4.0,B,RUNNING,1.42,0,0,5,10,0.5,30.0,100.0,574.4348,0.0,0,0.0,0.0
5.0,B,RUNNING,2.42,0,0,5,10,0.5,30.0,100.0,573.4348,0.0,0,0.0,0.0
6.0,B,RUNNING,3.42,0,0,5,10,0.5,30.0,100.0,572.4348,0.0,0,0.0,0.0
7.0,B,RUNNING,4.42,0,0,5,10,0.5,30.0,100.0,571.4348,0.0,0,0.0,0.0
8.0,B,RUNNING,5.42,0,0,5,10,0.5,30.0,100.0,570.4348,0.0,0,0.0,0.0
9.0,B,RUNNING,6.42,0,0,5,10,0.5,30.0,100.0,569.4348,0.0,0,0.0,0.0
10.0,B,RUNNING,7.42,0,0,5,10,0.5,30.0,100.0,568.4348,0.0,0,0.0,0.0
11.0,B,RUNNING,8.42,0,0,5,10,0.5,30.0,100.0,567.4348,0.0,0,0.0,0.0
12.0,B,RUNNING,9.42,0,0,5,10,0.5,30.0,100.0,566.4348,0.0,0,0.0,0.0
13.0,B,RUNNING,10.42,0,0,5,10,0.5,30.0,100.0,565.4348,0.0,0,0.0,0.0
14.0,B,RUNNING,11.42,0,0,5,10,0.5,30.0,100.0,564.4348,0.0,0,0.0,0.0
15.0,B,RUNNING,12.42,0,0,5,10,0.5,30.0,100.0,563.4348,0.0,0,0.0,0.0
16.0,B,RUNNING,13.42,0,0,5,10,0.5,30.0,100.0,562.4348,0.0,0,0.0,0.0
17.0,B,RUNNING,14.42,0,0,5,10,0.5,30.0,100.0,561.4348,0.0,0,0.0,0.0
18.0,B,RUNNING,15.42,0,0,5,10,0.5,30.0,100.0,560.4348,0.0,0,0.0,0.0
19.0,B,RUNNING,16.42,0,0,5,10,0.5,30.0,100.0,559.4348,0.0,0,0.0,0.0
20.0,B,RUNNING,17.42,0,0,5,10,0.5,30.0,100.0,558.4348,0.0,0,0.0,0.0
21.0,B,RUNNING,18.42,0,0,5,10,0.5,30.0,100.0,557.4348,0.0,0,0.0,0.0
22.0,B,RUNNING,19.42,0,0,5,10,0.5,30.0,100.0,556.4348,0.0,0,0.0,0.0
23.0,B,RUNNING,20.42,0,0,5,10,0.5,30.0,100.0,555.4348,0.0,0,0.0,0.0
24.0,B,RUNNING,21.42,0,0,5,10,0.5,30.0,100.0,554.4348,0.0,0,0.0,0.0
25.0,B,RUNNING,22.42,0,0,5,10,0.5,30.0,100.0,553.4348,0.0,0,0.0,0.0
26.0,B,RUNNING,23.42,0,0,5,10,0.5,30.0,100.0,552.4348,0.0,0,0.0,0.0
27.0,B,RUNNING,24.42,0,0,5,10,0.5,30.0,100.0,551.4348,0.0,0,0.0,0.0
28.0,B,RUNNING,25.42,0,0,5,10,0.5,30.0,100.0,550.4348,0.0,0,0.0,0.0
29.0,B,RUNNING,26.42,0,0,5,10,0.5,30.0,100.0,549.4348,0.0,0,0.0,0.0
30.0,B,RUNNING,27.42,0,0,5,10,0.5,30.0,100.0,548.4348,0.0,0,0.0,0.0
31.0,B,RUNNING,28.42,0,0,5,10,0.5,30.0,100.0,547.4348,0.0,0,0.0,0.0
32.0,B,RUNNING,29.42,0,0,5,10,0.5,30.0,100.0,546.4348,0.0,0,0.0,0.0
33.0,B,RUNNING,30.42,0,0,5,10,0.5,30.0,100.0,545.4348,0.0,0,0.0,0.0
34.0,B,RUNNING,31.42,0,0,5,10,0.5,30.0,100.0,544.4348,0.0,0,0.0,0.0
35.0,B,RUNNING,32.42,0,0,5,10,0.5,30.0,100.0,543.4348,0.0,0,0.0,0.0
36.0,B,RUNNING,33.42,0,0,5,10,0.5,30.0,100.0,542.4348,0.0,0,0.0,0.0
37.0,B,RUNNING,34.42,0,0,5,10,0.5,30.0,100.0,541.4348,0.0,0,0.0,0.0
38.0,B,RUNNING,35.42,0,0,5,10,0.5,30.0,100.0,540.4348,0.0,0,0.0,0.0
39.0,B,RUNNING,36.42,0,0,5,10,0.5,30.0,100.0,539.4348,0.0,0,0.0,0.0
40.0,B,RUNNING,37.42,0,0,5,10,0.5,30.0,100.0,538.4348,0.0,0,0.0,0.0
41.0,B,RUNNING,38.42,0,0,5,10,0.5,30.0,100.0,537.4348,0.0,0,0.0,0.0
42.0,B,RUNNING,39.42,0,0,5,10,0.5,30.0,100.0,536.4348,0.0,0,0.0,0.0
43.0,B,RUNNING,40.42,0,0,5,10,0.5,30.0,100.0,535.4348,0.0,0,0.0,0.0
44.0,B,RUNNING,41.42,0,0,5,10,0.5,30.0,100.0,534.4348,0.0,0,0.0,0.0
45.0,B,RUNNING,42.42,0,0,5,10,0.5,30.0,100.0,533.4348,0.0,0,0.0,0.0
46.0,B,RUNNING,43.42,0,0,5,10,0.5,30.0,100.0,532.4348,0.0,0,0.0,0.0
47.0,B,RUNNING,44.42,0,0,5,10,0.5,30.0,100.0,531.4348,0.0,0,0.0,0.0
48.0,B,RUNNING,45.42,0,0,5,10,0.5,30.0,100.0,530.4348,0.0,0,0.0,0.0
49.0,B,RUNNING,46.42,0,0,5,10,0.5,30.0,100.0,529.4348,0.0,0,0.0,0.0
50.0,B,RUNNING,47.42,0,0,5,10,0.5,30.0,100.0,528.4348,0.0,0,0.0,0.0
51.0,B,RUNNING,48.42,0,0,5,10,0.5,30.0,100.0,527.4348,0.0,0,0.0,0.0
52.0,B,RUNNING,49.42,0,0,5,10,0.5,30.0,100.0,526.4348,0.0,0,0.0,0.0
53.0,B,RUNNING,50.42,0,0,5,10,0.5,30.0,100.0,525.4348,0.0,0,0.0,0.0
54.0,B,RUNNING,51.42,0,0,5,10,0.5,30.0,100.0,524.4348,0.0,0,0.0,0.0
55.0,B,RUNNING,52.42,0,0,5,10,0.5,30.0,100.0,523.4348,0.0,0,0.0,0.0
56.0,B,RUNNING,53.42,0,0,5,10,0.5,30.0,100.0,522.4348,0.0,0,0.0,0.0
57.0,B,RUNNING,54.42,0,0,5,10,0.5,30.0,100.0,521.4348,0.0,0,0.0,0.0
58.0,B,RUNNING,55.42,0,0,5,10,0.5,30.0,100.0,520.4348,0.0,0,0.0,0.0
59.0,B,RUNNING,56.42,0,0,5,10,0.5,30.0,100.0,519.4348,0.0,0,0.0,0.0
60.0,B,RUNNING,57.42,0,0,5,10,0.5,30.0,100.0,518.4348,0.0,0,0.0,0.0
61.0,B,RUNNING,58.42,0,0,5,10,0.5,30.0,100.0,517.4348,0.0,0,0.0,0.0
62.0,B,RUNNING,59.42,0,0,5,10,0.5,30.0,100.0,516.4348,0.0,0,0.0,0.0
63.0,B,RUNNING,60.42,0,0,5,10,0.5,30.0,100.0,515.4348,0.0,0,0.0,0.0
64.0,B,RUNNING,61.42,0,0,5,10,0.5,30.0,100.0,514.4348,0.0,0,0.0,0.0
65.0,B,RUNNING,62.42,0,0,5,10,0.5,30.0,100.0,513.4348,0.0,0,0.0,0.0
66.0,B,RUNNING,63.42,0,0,5,10,0.5,30.0,100.0,512.4348,0.0,0,0.0,0.0
67.0,B,RUNNING,64.42,0,0,5,10,0.5,30.0,100.0,511.4348,0.0,0,0.0,0.0
68.0,B,RUNNING,65.42,0,0,5,10,0.5,30.0,100.0,510.4348,0.0,0,0.0,0.0
69.0,B,RUNNING,66.42,0,0,5,10,0.5,30.0,100.0,509.4348,0.0,0,0.0,0.0
70.0,B,RUNNING,67.42,0,0,5,10,0.5,30.0,100.0,508.4348,0.0,0,0.0,0.0
71.0,B,RUNNING,68.42,0,0,5,10,0.5,30.0,100.0,507.4348,0.0,0,0.0,0.0
72.0,B,RUNNING,69.42,0,0,5,10,0.5,30.0,100.0,506.4348,0.0,0,0.0,0.0
73.0,B,RUNNING,70.42,0,5,0,10,0.0,30.0,100.0,1105.4348,0.0,0,0.0,0.0
74.0,B,RUNNING,71.42,0,5,0,10,0.0,30.0,100.0,1104.4348,0.0,0,0.0,0.0
75.0,B,RUNNING,72.42,0,5,0,10,0.0,30.0,100.0,1103.4348,0.0,0,0.0,0.0
76.0,B,RUNNING,73.42,0,5,0,10,0.0,30.0,100.0,1102.4348,0.0,0,0.0,0.0
77.0,B,RUNNING,74.42,0,5,0,10,0.0,30.0,100.0,1101.4348,0.0,0,0.0,0.0
78.0,B,RUNNING,75.42,0,5,0,10,0.0,30.0,100.0,1100.4348,0.0,0,0.0,0.0
79.0,B,RUNNING,76.42,0,5,0,10,0.0,30.0,100.0,1099.4348,0.0,0,0.0,0.0
80.0,B,RUNNING,77.42,0,5,0,10,0.0,30.0,100.0,1098.4348,0.0,0,0.0,0.0
81.0,B,RUNNING,78.42,0,5,0,10,0.0,30.0,100.0,1097.4348,0.0,0,0.0,0.0
82.0,B,RUNNING,79.42,0,5,0,10,0.0,30.0,100.0,1096.4348,0.0,0,0.0,0.0
83.0,B,RUNNING,80.42,0,5,0,10,0.0,30.0,100.0,1095.4348,0.0,0,0.0,0.0
84.0,B,RUNNING,81.42,0,5,0,10,0.0,30.0,100.0,1094.4348,0.0,0,0.0,0.0
85.0,B,RUNNING,82.42,0,5,0,10,0.0,30.0,100.0,1093.4348,0.0,0,0.0,0.0
86.0,B,RUNNING,83.42,0,5,0,10,0.0,30.0,100.0,1092.4348,0.0,0,0.0,0.0
87.0,B,RUNNING,84.42,0,5,0,10,0.0,30.0,100.0,1091.4348,0.0,0,0.0,0.0
