seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",13.7,62.95,68.92,14.966,15.18,0.1798,0.1908,0.0,0.0,29.924,29.106,29.057,2.0,5,B,
2,DELIVER,delivery,SUCCEEDED,delivered 5 units,76.65,56.35,56.31,10.067,10.26,0.1671,0.1689,0.0,0.0,29.106,28.347,28.338,0.0,5,delivery,
3,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",133.01,53.28,55.67,9.853,10.01,0.1376,0.1428,0.0,0.0,28.339,27.714,27.69,2.0,4,A,
4,DELIVER,delivery,SUCCEEDED,delivered 4 units,186.3,56.28,55.67,9.884,10.01,0.1657,0.1661,0.0,0.0,27.714,26.96,26.959,0.0,4,delivery,
5,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",242.59,53.5,56.31,10.077,10.26,0.1404,0.1451,0.0,0.0,26.96,26.322,26.3,0.8,2,B,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,296.1,56.6,56.31,10.116,10.26,0.1535,0.1547,0.0,0.0,26.322,25.625,25.619,0.0,2,delivery,
7,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",352.7,47.94,46.15,6.244,6.3,0.1113,0.1085,0.0,0.0,25.625,25.119,25.132,1.5,1,C,
8,DELIVER,delivery,SUCCEEDED,delivered 1 units,400.65,48.16,46.15,6.398,6.3,0.1233,0.1195,0.0,0.0,25.119,24.558,24.576,0.0,1,delivery,
9,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",448.82,53.19,55.67,9.872,10.01,0.1397,0.1431,0.0,0.0,24.558,23.923,23.908,1.0,2,A,
10,DELIVER,delivery,SUCCEEDED,delivered 2 units,502.02,55.98,55.67,9.861,10.01,0.1529,0.1548,0.0,0.0,23.923,23.228,23.219,0.0,2,delivery,
11,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",558.0,53.55,56.31,10.091,10.26,0.1393,0.1455,0.0,0.0,23.221,22.588,22.559,1.2,3,B,
12,DELIVER,delivery,SUCCEEDED,delivered 3 units,611.56,56.7,56.31,10.139,10.26,0.1605,0.16,0.0,0.0,22.588,21.858,21.861,0.0,3,delivery,
13,CHARGE,charger,SUCCEEDED,charged to 40.0 %,668.26,781.45,778.32,5.231,5.1,0.0513,0.0476,4.0428,4.0388,21.858,40.001,40.0,0.0,0,charger,
