seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",14.23,63.17,68.92,15.029,15.18,0.1801,0.1908,0.0,0.0,29.921,29.103,29.054,2.0,5,B,
2,DELIVER,delivery,SUCCEEDED,delivered 5 units,77.4,57.46,56.31,10.222,10.26,0.1699,0.1689,0.0,0.0,29.103,28.331,28.335,0.0,5,delivery,
3,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",134.86,54.58,55.67,10.071,10.01,0.142,0.1428,0.0,0.0,28.331,27.685,27.682,2.0,4,A,
4,DELIVER,delivery,SUCCEEDED,delivered 4 units,189.45,57.48,55.67,10.259,10.01,0.1702,0.1661,0.0,0.0,27.685,26.912,26.93,0.0,4,delivery,
5,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",246.94,54.48,56.31,10.167,10.26,0.1425,0.1451,0.0,0.0,26.912,26.264,26.252,0.8,2,B,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,301.42,57.88,56.31,10.3,10.26,0.1579,0.1547,0.0,0.0,26.264,25.546,25.561,0.0,2,delivery,
7,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",359.3,47.37,46.15,6.267,6.3,0.1098,0.1085,0.0,0.0,25.546,25.047,25.053,1.5,1,C,
8,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",406.68,66.92,69.9,15.736,15.56,0.2183,0.2217,0.0,0.0,25.047,24.054,24.039,2.5,2,A,
9,DELIVER,delivery,SUCCEEDED,delivered 3 units,473.61,57.88,55.67,10.308,10.01,0.1788,0.1724,0.0,0.0,24.054,23.242,23.27,0.0,3,delivery,
10,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",531.49,54.08,56.31,10.062,10.26,0.1408,0.1456,0.0,0.0,23.242,22.602,22.58,1.2,3,B,
11,DELIVER,delivery,SUCCEEDED,delivered 3 units,585.58,57.92,56.31,10.304,10.26,0.1633,0.1601,0.0,0.0,22.602,21.86,21.874,0.0,3,delivery,
12,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",643.51,54.06,55.67,10.046,10.01,0.1409,0.1434,0.0,0.0,21.86,21.219,21.208,0.5,1,A,
13,DELIVER,delivery,SUCCEEDED,delivered 1 units,697.58,58.64,55.67,10.222,10.01,0.1562,0.1493,0.0,0.0,21.219,20.509,20.54,0.0,1,delivery,
14,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",756.24,54.47,56.31,10.113,10.26,0.1413,0.1458,0.0,0.0,20.509,19.867,19.846,0.8,2,B,
15,DELIVER,delivery,SUCCEEDED,delivered 2 units,810.72,57.48,56.31,10.24,10.26,0.1583,0.1556,0.0,0.0,19.867,19.147,19.16,0.0,2,delivery,
16,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",868.2,47.6,46.15,6.291,6.3,0.1104,0.1089,0.0,0.0,19.147,18.646,18.652,1.5,1,C,
17,DELIVER,delivery,SUCCEEDED,delivered 1 units,915.81,48.27,46.15,6.388,6.3,0.1254,0.1201,0.0,0.0,18.646,18.075,18.1,0.0,1,delivery,
18,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",964.08,54.38,55.67,10.04,10.01,0.1411,0.1436,0.0,0.0,18.075,17.434,17.422,1.0,2,A,
19,CHARGE,charger,SUCCEEDED,charged to 40.0 %,1018.47,986.43,981.88,9.281,9.04,0.1015,0.0953,5.0667,5.0598,17.434,40.003,40.0,1.0,0,charger,
