seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",15.3,63.19,68.92,15.005,15.18,0.1801,0.1908,0.0,0.0,29.907,29.089,29.04,2.0,5,B,
2,DELIVER,delivery,SUCCEEDED,delivered 5 units,78.49,56.28,56.31,10.107,10.26,0.1673,0.1689,0.0,0.0,29.089,28.328,28.321,0.0,5,delivery,
3,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",134.78,53.29,55.67,9.917,10.01,0.1396,0.1428,0.0,0.0,28.328,27.693,27.679,2.0,4,A,
4,DELIVER,delivery,SUCCEEDED,delivered 4 units,188.09,56.14,55.67,9.917,10.01,0.166,0.1661,0.0,0.0,27.693,26.939,26.938,0.0,4,delivery,
5,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",244.24,53.41,56.31,10.086,10.26,0.1388,0.1451,0.0,0.0,26.939,26.308,26.279,0.8,2,B,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,297.66,57.74,56.31,10.106,10.26,0.1567,0.1547,0.0,0.0,26.308,25.596,25.605,0.0,2,delivery,attempt 1: Nav2 aborted | recovery: clear costmaps
7,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",355.42,47.74,46.15,6.222,6.3,0.1113,0.1085,0.0,0.0,25.596,25.09,25.103,1.5,1,C,
8,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",403.18,65.87,69.9,15.466,15.56,0.2148,0.2217,0.0,0.0,25.09,24.114,24.082,2.5,2,A,
9,DELIVER,delivery,SUCCEEDED,delivered 3 units,469.05,55.91,55.67,9.806,10.01,0.1698,0.1724,0.0,0.0,24.114,23.342,23.33,0.0,3,delivery,
10,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",524.96,53.6,56.31,10.104,10.26,0.141,0.1456,0.0,0.0,23.342,22.701,22.68,0.8,2,B,
11,DELIVER,delivery,SUCCEEDED,delivered 2 units,578.58,56.7,56.31,10.179,10.26,0.156,0.1553,0.0,0.0,22.701,21.992,21.995,0.0,2,delivery,
12,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",635.28,52.96,55.67,9.748,10.01,0.1377,0.1434,0.0,0.0,21.992,21.366,21.34,0.5,1,A,
13,DELIVER,delivery,SUCCEEDED,delivered 1 units,688.25,56.29,55.67,9.846,10.01,0.149,0.1493,0.0,0.0,21.366,20.689,20.687,0.0,1,delivery,
14,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",744.54,53.36,56.31,10.034,10.26,0.1393,0.1458,0.0,0.0,20.689,20.056,20.026,0.8,2,B,
15,DELIVER,delivery,SUCCEEDED,delivered 2 units,797.92,56.22,56.31,10.066,10.26,0.1556,0.1555,0.0,0.0,20.056,19.348,19.349,0.0,2,delivery,
16,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",854.14,53.2,55.67,9.793,10.01,0.1381,0.1436,0.0,0.0,19.348,18.72,18.695,0.5,1,A,
17,DELIVER,delivery,SUCCEEDED,delivered 1 units,907.34,55.69,55.67,9.792,10.01,0.149,0.1496,0.0,0.0,18.72,18.043,18.04,0.0,1,delivery,
18,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",963.04,47.54,46.15,6.334,6.3,0.1106,0.109,0.0,0.0,18.043,17.54,17.548,1.5,1,C,
19,WAIT,,SUCCEEDED,waited 60 s at C,1010.6,61.2,60.0,0.0,0.0,0.1017,0.1,0.0,0.0,17.54,17.078,17.085,1.5,0,C,
20,CHARGE,charger,SUCCEEDED,charged to 40.0 %,1071.81,1009.56,1008.12,11.442,11.27,0.1267,0.1253,5.1775,5.1681,17.078,40.036,40.0,1.5,0,charger,
