sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
2.37,A,RUNNING,0.0,0,0,1,6,0.1667,40.0,100.0,463.3208,0.0,0,0.0,0.0
3.0,A,RUNNING,0.632,0,0,1,6,0.1667,40.0,100.0,462.6888,0.0,0,0.0,0.0
4.0,A,RUNNING,1.632,0,0,1,6,0.1667,40.0,100.0,461.6888,0.0,0,0.0,0.0
5.0,A,RUNNING,2.632,0,0,1,6,0.1667,40.0,100.0,460.6888,0.0,0,0.0,0.0
6.0,A,RUNNING,3.632,0,0,1,6,0.1667,40.0,100.0,459.6888,0.0,0,0.0,0.0
7.0,A,RUNNING,4.632,0,0,1,6,0.1667,40.0,100.0,458.6888,0.0,0,0.0,0.0
8.0,A,RUNNING,5.632,0,0,1,6,0.1667,40.0,100.0,457.6888,0.0,0,0.0,0.0
9.0,A,RUNNING,6.632,0,0,1,6,0.1667,40.0,100.0,456.6888,0.0,0,0.0,0.0
10.0,A,RUNNING,7.632,0,0,1,6,0.1667,40.0,100.0,455.6888,0.0,0,0.0,0.0
11.0,A,RUNNING,8.632,0,0,1,6,0.1667,40.0,100.0,454.6888,0.0,0,0.0,0.0
12.0,A,RUNNING,9.632,0,0,1,6,0.1667,40.0,100.0,453.6888,0.0,0,0.0,0.0
13.0,A,RUNNING,10.632,0,0,1,6,0.1667,40.0,100.0,452.6888,0.0,0,0.0,0.0
14.0,A,RUNNING,11.632,0,0,1,6,0.1667,40.0,100.0,451.6888,0.0,0,0.0,0.0
15.0,A,RUNNING,12.632,0,0,1,6,0.1667,40.0,100.0,450.6888,0.0,0,0.0,0.0
16.0,A,RUNNING,13.632,0,0,1,6,0.1667,40.0,100.0,449.6888,0.0,0,0.0,0.0
17.0,A,RUNNING,14.632,0,0,1,6,0.1667,40.0,100.0,448.6888,0.0,0,0.0,0.0
18.0,A,RUNNING,15.632,0,0,1,6,0.1667,40.0,100.0,447.6888,0.0,0,0.0,0.0
19.0,A,RUNNING,16.632,0,0,1,6,0.1667,40.0,100.0,446.6888,0.0,0,0.0,0.0
20.0,A,RUNNING,17.632,0,0,1,6,0.1667,40.0,100.0,445.6888,0.0,0,0.0,0.0
21.0,A,RUNNING,18.632,0,0,1,6,0.1667,40.0,100.0,444.6888,0.0,0,0.0,0.0
22.0,A,RUNNING,19.632,0,0,1,6,0.1667,40.0,100.0,443.6888,0.0,0,0.0,0.0
23.0,A,RUNNING,20.632,0,0,1,6,0.1667,40.0,100.0,442.6888,0.0,0,0.0,0.0
24.0,A,RUNNING,21.632,0,0,1,6,0.1667,40.0,100.0,441.6888,0.0,0,0.0,0.0
25.0,A,RUNNING,22.632,0,0,1,6,0.1667,40.0,100.0,440.6888,0.0,0,0.0,0.0
26.0,A,RUNNING,23.632,0,0,1,6,0.1667,40.0,100.0,439.6888,0.0,0,0.0,0.0
27.0,A,RUNNING,24.632,0,0,1,6,0.1667,40.0,100.0,438.6888,0.0,0,0.0,0.0
28.0,A,RUNNING,25.632,0,0,1,6,0.1667,40.0,100.0,437.6888,0.0,0,0.0,0.0
29.0,A,RUNNING,26.632,0,0,1,6,0.1667,40.0,100.0,436.6888,0.0,0,0.0,0.0
30.0,A,RUNNING,27.632,0,0,1,6,0.1667,40.0,100.0,435.6888,0.0,0,0.0,0.0
31.0,A,RUNNING,28.632,0,0,1,6,0.1667,40.0,100.0,434.6888,0.0,0,0.0,0.0
32.0,A,RUNNING,29.632,0,0,1,6,0.1667,40.0,100.0,433.6888,0.0,0,0.0,0.0
33.0,A,RUNNING,30.632,0,0,1,6,0.1667,40.0,100.0,432.6888,0.0,0,0.0,0.0
34.0,A,RUNNING,31.632,0,0,1,6,0.1667,40.0,100.0,431.6888,0.0,0,0.0,0.0
35.0,A,RUNNING,32.632,0,0,1,6,0.1667,40.0,100.0,430.6888,0.0,0,0.0,0.0
36.0,A,RUNNING,33.632,0,0,1,6,0.1667,40.0,100.0,429.6888,0.0,0,0.0,0.0
37.0,A,RUNNING,34.632,0,0,1,6,0.1667,40.0,100.0,428.6888,0.0,0,0.0,0.0
38.0,A,RUNNING,35.632,0,0,1,6,0.1667,40.0,100.0,427.6888,0.0,0,0.0,0.0
39.0,A,RUNNING,36.632,0,0,1,6,0.1667,40.0,100.0,426.6888,0.0,0,0.0,0.0
40.0,A,RUNNING,37.632,0,0,1,6,0.1667,40.0,100.0,425.6888,0.0,0,0.0,0.0
41.0,A,RUNNING,38.632,0,0,1,6,0.1667,40.0,100.0,424.6888,0.0,0,0.0,0.0
42.0,A,RUNNING,39.632,0,0,1,6,0.1667,40.0,100.0,423.6888,0.0,0,0.0,0.0
43.0,A,RUNNING,40.632,0,0,1,6,0.1667,40.0,100.0,422.6888,0.0,0,0.0,0.0
44.0,A,RUNNING,41.632,0,0,1,6,0.1667,40.0,100.0,421.6888,0.0,0,0.0,0.0
45.0,A,RUNNING,42.632,0,0,1,6,0.1667,40.0,100.0,420.6888,0.0,0,0.0,0.0
46.0,A,RUNNING,43.632,0,0,1,6,0.1667,40.0,100.0,419.6888,0.0,0,0.0,0.0
47.0,A,RUNNING,44.632,0,0,1,6,0.1667,40.0,100.0,418.6888,0.0,0,0.0,0.0
48.0,A,RUNNING,45.632,0,0,1,6,0.1667,40.0,100.0,417.6888,0.0,0,0.0,0.0
49.0,A,RUNNING,46.632,0,0,1,6,0.1667,40.0,100.0,416.6888,0.0,0,0.0,0.0
50.0,A,RUNNING,47.632,0,0,1,6,0.1667,40.0,100.0,415.6888,0.0,0,0.0,0.0
51.0,A,RUNNING,48.632,0,0,1,6,0.1667,40.0,100.0,414.6888,0.0,0,0.0,0.0
52.0,A,RUNNING,49.632,0,0,1,6,0.1667,40.0,100.0,413.6888,0.0,0,0.0,0.0
53.0,A,RUNNING,50.632,0,0,1,6,0.1667,40.0,100.0,412.6888,0.0,0,0.0,0.0
54.0,A,RUNNING,51.632,0,0,1,6,0.1667,40.0,100.0,411.6888,0.0,0,0.0,0.0
