ts,run_id,order_id,activity,state,battery_percent,temperature_c,condition_percent,payload_kg,motor_load,speed,distance_delta_m,cumulative_distance_m,cumulative_energy_wh,cumulative_charged_wh
5.0,run_20260920_115809,,idle,idle,29.994,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0
6.0,run_20260920_115809,,idle,idle,29.987,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0
7.0,run_20260920_115809,,idle,idle,29.979,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0
8.0,run_20260920_115809,,idle,idle,29.972,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0
9.0,run_20260920_115809,,idle,idle,29.964,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0
10.0,run_20260920_115809,,idle,idle,29.956,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0
11.0,run_20260920_115809,,waiting,waiting,29.949,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.0
12.0,run_20260920_115809,,driving,driving,29.941,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0129,0.0
13.0,run_20260920_115809,,driving,driving,29.927,22.033,100.0,0.0,0.894,0.498,0.2815,0.281,0.016,0.0
14.0,run_20260920_115809,,driving,driving,29.909,22.066,100.0,0.0,0.897,0.5,0.4749,0.756,0.02,0.0
15.0,run_20260920_115809,,driving,driving,29.89,22.099,100.0,0.0,0.894,0.498,0.4976,1.254,0.0242,0.0
16.0,run_20260920_115809,,driving,driving,29.871,22.132,100.0,0.0,0.895,0.499,0.5007,1.755,0.0284,0.0
17.0,run_20260920_115809,,driving,driving,29.852,22.165,100.0,0.0,0.894,0.498,0.5026,2.257,0.0325,0.0
18.0,run_20260920_115809,,driving,driving,29.834,22.198,100.0,0.0,0.881,0.491,0.4795,2.737,0.0366,0.0
19.0,run_20260920_115809,,driving,driving,29.815,22.23,100.0,0.0,0.87,0.485,0.4927,3.229,0.0407,0.0
20.0,run_20260920_115809,,driving,driving,29.796,22.261,100.0,0.0,0.864,0.482,0.4928,3.722,0.0449,0.0
