sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
3.62,B,RUNNING,0.0,0,0,2,10,0.2,30.0,100.0,944.3653,0.0,0,0.0,0.0
4.0,B,RUNNING,0.38,0,0,2,10,0.2,30.0,100.0,943.9853,0.0,0,0.0,0.0
5.0,B,RUNNING,1.38,0,0,2,10,0.2,30.0,100.0,942.9853,0.0,0,0.0,0.0
6.0,B,RUNNING,2.38,0,0,2,10,0.2,30.0,100.0,941.9853,0.0,0,0.0,0.0
7.0,B,RUNNING,3.38,0,0,2,10,0.2,30.0,100.0,940.9853,0.0,0,0.0,0.0
8.0,B,RUNNING,4.38,0,0,2,10,0.2,30.0,100.0,939.9853,0.0,0,0.0,0.0
9.0,B,RUNNING,5.38,0,0,2,10,0.2,30.0,100.0,938.9853,0.0,0,0.0,0.0
10.0,B,RUNNING,6.38,0,0,2,10,0.2,30.0,100.0,937.9853,0.0,0,0.0,0.0
11.0,B,RUNNING,7.38,0,0,2,10,0.2,30.0,100.0,936.9853,0.0,0,0.0,0.0
12.0,B,RUNNING,8.38,0,0,2,10,0.2,30.0,100.0,935.9853,0.0,0,0.0,0.0
13.0,B,RUNNING,9.38,0,0,2,10,0.2,30.0,100.0,934.9853,0.0,0,0.0,0.0
14.0,B,RUNNING,10.38,0,0,2,10,0.2,30.0,100.0,933.9853,0.0,0,0.0,0.0
15.0,B,RUNNING,11.38,0,0,2,10,0.2,30.0,100.0,932.9853,0.0,0,0.0,0.0
16.0,B,RUNNING,12.38,0,0,2,10,0.2,30.0,100.0,931.9853,0.0,0,0.0,0.0
17.0,B,RUNNING,13.38,0,0,2,10,0.2,30.0,100.0,930.9853,0.0,0,0.0,0.0
18.0,B,RUNNING,14.384,0,0,2,10,0.2,30.0,100.0,929.9813,0.0,0,0.0,0.0
19.0,B,RUNNING,15.38,0,0,2,10,0.2,30.0,100.0,928.9853,0.0,0,0.0,0.0
20.0,B,RUNNING,16.38,0,0,2,10,0.2,30.0,100.0,927.9853,0.0,0,0.0,0.0
21.0,B,RUNNING,17.38,0,0,2,10,0.2,30.0,100.0,926.9853,0.0,0,0.0,0.0
22.0,B,RUNNING,18.38,0,0,2,10,0.2,30.0,100.0,925.9853,0.0,0,0.0,0.0
23.0,B,RUNNING,19.38,0,0,2,10,0.2,30.0,100.0,924.9853,0.0,0,0.0,0.0
24.0,B,RUNNING,20.38,0,0,2,10,0.2,30.0,100.0,923.9853,0.0,0,0.0,0.0
25.0,B,RUNNING,21.38,0,0,2,10,0.2,30.0,100.0,922.9853,0.0,0,0.0,0.0
26.0,B,RUNNING,22.38,0,0,2,10,0.2,30.0,100.0,921.9853,0.0,0,0.0,0.0
27.0,B,RUNNING,23.38,0,0,2,10,0.2,30.0,100.0,920.9853,0.0,0,0.0,0.0
28.0,B,RUNNING,24.38,0,0,2,10,0.2,30.0,100.0,919.9853,0.0,0,0.0,0.0
29.0,B,RUNNING,25.38,0,0,2,10,0.2,30.0,100.0,918.9853,0.0,0,0.0,0.0
30.0,B,RUNNING,26.38,0,0,2,10,0.2,30.0,100.0,917.9853,0.0,0,0.0,0.0
31.0,B,RUNNING,27.38,0,0,2,10,0.2,30.0,100.0,916.9853,0.0,0,0.0,0.0
32.0,B,RUNNING,28.38,0,0,2,10,0.2,30.0,100.0,915.9853,0.0,0,0.0,0.0
33.0,B,RUNNING,29.38,0,0,2,10,0.2,30.0,100.0,914.9853,0.0,0,0.0,0.0
34.0,B,RUNNING,30.38,0,0,2,10,0.2,30.0,100.0,913.9853,0.0,0,0.0,0.0
35.0,B,RUNNING,31.38,0,0,2,10,0.2,30.0,100.0,912.9853,0.0,0,0.0,0.0
36.0,B,RUNNING,32.38,0,0,2,10,0.2,30.0,100.0,911.9853,0.0,0,0.0,0.0
37.0,B,RUNNING,33.38,0,0,2,10,0.2,30.0,100.0,910.9853,0.0,0,0.0,0.0
38.0,B,RUNNING,34.38,0,0,2,10,0.2,30.0,100.0,909.9853,0.0,0,0.0,0.0
39.0,B,RUNNING,35.38,0,0,2,10,0.2,30.0,100.0,908.9853,0.0,0,0.0,0.0
40.0,B,RUNNING,36.38,0,0,2,10,0.2,30.0,100.0,907.9853,0.0,0,0.0,0.0
41.0,B,RUNNING,37.38,0,0,2,10,0.2,30.0,100.0,906.9853,0.0,0,0.0,0.0
42.0,B,RUNNING,38.38,0,0,2,10,0.2,30.0,100.0,905.9853,0.0,0,0.0,0.0
43.0,B,RUNNING,39.38,0,0,2,10,0.2,30.0,100.0,904.9853,0.0,0,0.0,0.0
44.0,B,RUNNING,40.38,0,0,2,10,0.2,30.0,100.0,903.9853,0.0,0,0.0,0.0
45.0,B,RUNNING,41.38,0,0,2,10,0.2,30.0,100.0,902.9853,0.0,0,0.0,0.0
46.0,B,RUNNING,42.38,0,0,2,10,0.2,30.0,100.0,901.9853,0.0,0,0.0,0.0
47.0,B,RUNNING,43.38,0,0,2,10,0.2,30.0,100.0,900.9853,0.0,0,0.0,0.0
48.0,B,RUNNING,44.38,0,0,2,10,0.2,30.0,100.0,899.9853,0.0,0,0.0,0.0
49.0,B,RUNNING,45.38,0,0,2,10,0.2,30.0,100.0,898.9853,0.0,0,0.0,0.0
50.0,B,RUNNING,46.38,0,0,2,10,0.2,30.0,100.0,897.9853,0.0,0,0.0,0.0
51.0,B,RUNNING,47.38,0,0,2,10,0.2,30.0,100.0,896.9853,0.0,0,0.0,0.0
52.0,B,RUNNING,48.38,0,0,2,10,0.2,30.0,100.0,895.9853,0.0,0,0.0,0.0
53.0,B,RUNNING,49.38,0,0,2,10,0.2,30.0,100.0,894.9853,0.0,0,0.0,0.0
54.0,B,RUNNING,50.38,0,0,2,10,0.2,30.0,100.0,893.9853,0.0,0,0.0,0.0
55.0,B,RUNNING,51.38,0,0,2,10,0.2,30.0,100.0,892.9853,0.0,0,0.0,0.0
