seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",17.35,62.97,68.92,15.003,15.18,0.18,0.1908,0.0,0.0,29.894,29.076,29.027,2.0,5,B,
2,DELIVER,delivery,SUCCEEDED,delivered 5 units,80.33,56.57,56.31,10.186,10.26,0.1679,0.1689,0.0,0.0,29.076,28.313,28.308,0.0,5,delivery,
3,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",136.91,53.18,55.67,9.863,10.01,0.1393,0.1428,0.0,0.0,28.313,27.679,27.664,2.0,4,A,
4,DELIVER,delivery,SUCCEEDED,delivered 4 units,190.09,56.08,55.67,9.856,10.01,0.1655,0.1661,0.0,0.0,27.679,26.927,26.924,0.0,4,delivery,
5,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",246.18,53.4,56.31,10.033,10.26,0.1386,0.1451,0.0,0.0,26.927,26.297,26.267,0.8,2,B,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,299.58,56.69,56.31,10.16,10.26,0.1554,0.1547,0.0,0.0,26.297,25.591,25.594,0.0,2,delivery,
7,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",356.28,47.66,46.15,6.299,6.3,0.1099,0.1085,0.0,0.0,25.591,25.091,25.098,1.5,1,C,
8,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",403.94,65.16,69.9,15.428,15.56,0.2146,0.2217,0.0,0.0,25.091,24.116,24.083,2.5,2,A,
9,DELIVER,delivery,SUCCEEDED,delivered 3 units,469.11,56.27,55.67,9.87,10.01,0.172,0.1724,0.0,0.0,24.116,23.334,23.332,0.0,3,delivery,
10,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",525.38,53.45,56.31,10.027,10.26,0.1389,0.1456,0.0,0.0,23.334,22.703,22.672,1.2,3,B,
11,DELIVER,delivery,SUCCEEDED,delivered 3 units,578.84,56.68,56.31,10.137,10.26,0.1606,0.1601,0.0,0.0,22.703,21.973,21.975,0.0,3,delivery,
12,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",635.52,53.17,55.67,9.843,10.01,0.1382,0.1434,0.0,0.0,21.973,21.345,21.321,0.5,1,A,
13,DELIVER,delivery,SUCCEEDED,delivered 1 units,688.7,56.45,55.67,9.955,10.01,0.1513,0.1493,0.0,0.0,21.345,20.657,20.666,0.0,1,delivery,
14,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",745.15,53.49,56.31,10.026,10.26,0.1392,0.1458,0.0,0.0,20.657,20.024,19.994,0.4,1,B,
15,DELIVER,delivery,SUCCEEDED,delivered 1 units,798.64,56.69,56.31,10.143,10.26,0.1513,0.1507,0.0,0.0,20.024,19.336,19.339,0.0,1,delivery,
16,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",855.34,47.47,46.15,6.275,6.3,0.1102,0.1089,0.0,0.0,19.336,18.835,18.841,1.5,1,C,
17,DELIVER,delivery,SUCCEEDED,delivered 1 units,902.82,48.08,46.15,6.465,6.3,0.1244,0.1201,0.0,0.0,18.835,18.27,18.289,0.0,1,delivery,
18,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",950.9,53.56,55.67,9.87,10.01,0.1402,0.1436,0.0,0.0,18.27,17.633,17.617,0.5,1,A,
19,CHARGE,charger,SUCCEEDED,charged to 40.0 %,1004.47,974.78,972.57,8.93,9.04,0.0924,0.0899,5.0139,5.0107,17.633,40.003,40.0,0.5,0,charger,
