seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 3 units (1.80 kg), 0 left",14.81,63.16,68.92,15.02,15.18,0.1801,0.1908,0.0,0.0,49.91,49.091,49.043,1.8,3,B,
2,DELIVER,delivery,SUCCEEDED,delivered 3 units,77.97,56.55,56.31,10.164,10.26,0.1671,0.1666,0.0,0.0,49.091,48.332,48.334,0.0,3,delivery,
3,PICKUP,A,SUCCEEDED,"took 2 units (1.60 kg), 0 left",134.54,53.03,55.67,9.71,10.01,0.1369,0.1428,0.0,0.0,48.332,47.709,47.683,1.6,2,A,
4,DELIVER,delivery,SUCCEEDED,delivered 2 units,187.58,55.76,55.67,9.75,10.01,0.1602,0.1614,0.0,0.0,47.709,46.981,46.975,0.0,2,delivery,
5,PICKUP,B,SUCCEEDED,"took 4 units (2.40 kg), 0 left",243.34,53.64,56.31,10.136,10.26,0.1391,0.1451,0.0,0.0,46.981,46.349,46.321,2.4,4,B,
6,DELIVER,delivery,SUCCEEDED,delivered 4 units,297.0,57.18,56.31,10.202,10.26,0.1762,0.1738,0.0,0.0,46.349,45.548,45.559,0.0,4,delivery,
7,PICKUP,A,SUCCEEDED,"took 3 units (2.40 kg), 0 left",354.18,53.54,55.67,9.825,10.01,0.1377,0.143,0.0,0.0,45.548,44.922,44.898,2.4,3,A,
8,DELIVER,delivery,SUCCEEDED,delivered 3 units,407.73,56.47,55.67,9.887,10.01,0.1725,0.171,0.0,0.0,44.922,44.138,44.145,0.0,3,delivery,
9,PICKUP,B,SUCCEEDED,"took 3 units (1.80 kg), 0 left",464.2,53.28,56.31,10.133,10.26,0.1394,0.1455,0.0,0.0,44.138,43.505,43.477,1.8,3,B,
10,DELIVER,delivery,SUCCEEDED,delivered 3 units,517.49,57.14,56.31,10.271,10.26,0.1684,0.1671,0.0,0.0,43.505,42.739,42.745,0.0,3,delivery,
11,PICKUP,A,SUCCEEDED,"took 2 units (1.60 kg), 0 left",574.64,52.89,55.67,9.734,10.01,0.1376,0.1433,0.0,0.0,42.739,42.114,42.088,1.6,2,A,
12,PICKUP,B,SUCCEEDED,"took 4 units (2.40 kg), 0 left",627.53,80.92,76.87,19.766,18.28,0.2725,0.2548,0.0,0.0,42.114,40.875,40.956,4.0,4,B,
13,DELIVER,delivery,SUCCEEDED,delivered 6 units,708.46,56.62,56.31,10.174,10.26,0.1947,0.1941,0.0,0.0,40.875,39.99,39.993,0.0,6,delivery,
14,PICKUP,C,SUCCEEDED,"took 1 units (2.00 kg), 0 left",765.08,48.0,46.15,6.317,6.3,0.1121,0.1089,0.0,0.0,39.99,39.48,39.495,2.0,1,C,
15,PICKUP,B,SUCCEEDED,"took 2 units (1.20 kg), 0 left",813.09,52.17,53.69,9.211,9.24,0.1553,0.1582,0.0,0.0,39.48,38.775,38.761,3.2,2,B,
16,DELIVER,delivery,SUCCEEDED,delivered 3 units,865.27,56.04,56.31,10.112,10.26,0.183,0.1847,0.0,0.0,38.775,37.943,37.935,0.0,3,delivery,
17,PICKUP,A,SUCCEEDED,"took 4 units (3.20 kg), 0 left",921.32,53.51,55.67,9.912,10.01,0.1389,0.1437,0.0,0.0,37.943,37.311,37.29,3.2,4,A,
18,DELIVER,delivery,SUCCEEDED,delivered 4 units,974.84,56.54,55.67,9.918,10.01,0.1832,0.1816,0.0,0.0,37.311,36.479,36.485,0.0,4,delivery,
19,PICKUP,C,SUCCEEDED,"took 1 units (2.00 kg), 0 left",1031.4,47.58,46.15,6.392,6.3,0.1109,0.1091,0.0,0.0,36.479,35.974,35.983,2.0,1,C,
20,PICKUP,B,SUCCEEDED,"took 5 units (3.00 kg), 0 left",1078.99,52.56,53.69,9.22,9.24,0.1573,0.1585,0.0,0.0,35.974,35.26,35.254,5.0,5,B,
21,DELIVER,delivery,SUCCEEDED,delivered 6 units,1131.56,56.44,56.31,10.134,10.26,0.2068,0.2069,0.0,0.0,35.26,34.319,34.319,0.0,6,delivery,
22,PICKUP,A,SUCCEEDED,"took 3 units (2.40 kg), 0 left",1188.01,53.0,55.67,9.836,10.01,0.1387,0.1439,0.0,0.0,34.319,33.689,33.665,2.4,3,A,
