sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
3.62,B,RUNNING,0.0,0,0,5,10,0.5,30.0,100.0,575.8548,0.0,0,0.0,0.0
4.0,B,RUNNING,0.376,0,0,5,10,0.5,30.0,100.0,575.4788,0.0,0,0.0,0.0
5.0,B,RUNNING,1.376,0,0,5,10,0.5,30.0,100.0,574.4788,0.0,0,0.0,0.0
6.0,B,RUNNING,2.376,0,0,5,10,0.5,30.0,100.0,573.4788,0.0,0,0.0,0.0
7.0,B,RUNNING,3.376,0,0,5,10,0.5,30.0,100.0,572.4788,0.0,0,0.0,0.0
8.0,B,RUNNING,4.376,0,0,5,10,0.5,30.0,100.0,571.4788,0.0,0,0.0,0.0
9.0,B,RUNNING,5.376,0,0,5,10,0.5,30.0,100.0,570.4788,0.0,0,0.0,0.0
10.0,B,RUNNING,6.376,0,0,5,10,0.5,30.0,100.0,569.4788,0.0,0,0.0,0.0
11.0,B,RUNNING,7.376,0,0,5,10,0.5,30.0,100.0,568.4788,0.0,0,0.0,0.0
12.0,B,RUNNING,8.376,0,0,5,10,0.5,30.0,100.0,567.4788,0.0,0,0.0,0.0
13.0,B,RUNNING,9.376,0,0,5,10,0.5,30.0,100.0,566.4788,0.0,0,0.0,0.0
14.0,B,RUNNING,10.376,0,0,5,10,0.5,30.0,100.0,565.4788,0.0,0,0.0,0.0
15.0,B,RUNNING,11.376,0,0,5,10,0.5,30.0,100.0,564.4788,0.0,0,0.0,0.0
16.0,B,RUNNING,12.376,0,0,5,10,0.5,30.0,100.0,563.4788,0.0,0,0.0,0.0
17.0,B,RUNNING,13.376,0,0,5,10,0.5,30.0,100.0,562.4788,0.0,0,0.0,0.0
18.0,B,RUNNING,14.376,0,0,5,10,0.5,30.0,100.0,561.4788,0.0,0,0.0,0.0
19.0,B,RUNNING,15.376,0,0,5,10,0.5,30.0,100.0,560.4788,0.0,0,0.0,0.0
20.0,B,RUNNING,16.376,0,0,5,10,0.5,30.0,100.0,559.4788,0.0,0,0.0,0.0
21.0,B,RUNNING,17.376,0,0,5,10,0.5,30.0,100.0,558.4788,0.0,0,0.0,0.0
22.0,B,RUNNING,18.376,0,0,5,10,0.5,30.0,100.0,557.4788,0.0,0,0.0,0.0
23.0,B,RUNNING,19.376,0,0,5,10,0.5,30.0,100.0,556.4788,0.0,0,0.0,0.0
24.0,B,RUNNING,20.376,0,0,5,10,0.5,30.0,100.0,555.4788,0.0,0,0.0,0.0
