seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,FAILED,could not reach B; returned to the charger,13.87,14.55,68.92,2.539,15.18,0.0378,0.1908,0.0,0.0,29.914,29.742,29.047,0.0,0,charger,attempt 1: Nav2 aborted | recovery: clear costmaps | attempt 2: Nav2 aborted | recovery: back up (backed up) | attempt 3: Nav2 aborted | return to charger
2,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",28.46,62.28,68.92,14.95,15.18,0.178,0.1908,0.0,0.0,29.742,28.933,28.875,2.0,5,B,
3,DELIVER,delivery,SUCCEEDED,delivered 5 units,90.77,55.65,56.31,10.084,10.26,0.1672,0.1689,0.0,0.0,28.933,28.173,28.165,0.0,5,delivery,
4,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",146.44,52.81,55.67,9.837,10.01,0.1376,0.1428,0.0,0.0,28.173,27.547,27.524,2.0,4,A,
5,DELIVER,delivery,SUCCEEDED,delivered 4 units,199.26,55.75,55.67,9.829,10.01,0.1653,0.1661,0.0,0.0,27.547,26.796,26.792,0.0,4,delivery,
6,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",255.02,53.16,56.31,10.133,10.26,0.1391,0.1451,0.0,0.0,26.796,26.164,26.136,1.2,3,B,
7,DELIVER,delivery,SUCCEEDED,delivered 3 units,308.23,55.96,56.31,10.173,10.26,0.1585,0.1595,0.0,0.0,26.164,25.443,25.439,0.0,3,delivery,
8,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",364.2,47.02,46.15,6.292,6.3,0.1099,0.1085,0.0,0.0,25.443,24.943,24.95,1.5,1,C,
9,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",411.23,64.96,69.9,15.361,15.56,0.2126,0.2218,0.0,0.0,24.943,23.977,23.935,2.5,2,A,
10,DELIVER,delivery,SUCCEEDED,delivered 3 units,476.2,55.77,55.67,9.839,10.01,0.1701,0.1724,0.0,0.0,23.977,23.204,23.193,0.0,3,delivery,
11,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",531.99,53.18,56.31,10.06,10.26,0.1408,0.1456,0.0,0.0,23.204,22.564,22.542,0.8,2,B,
12,DELIVER,delivery,SUCCEEDED,delivered 2 units,585.19,56.52,56.31,10.188,10.26,0.1544,0.1553,0.0,0.0,22.564,21.862,21.858,0.0,2,delivery,
13,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",641.72,52.91,55.67,9.784,10.01,0.138,0.1434,0.0,0.0,21.862,21.235,21.21,0.5,1,A,
14,DELIVER,delivery,SUCCEEDED,delivered 1 units,694.65,55.9,55.67,9.85,10.01,0.149,0.1493,0.0,0.0,21.235,20.558,20.556,0.0,1,delivery,
15,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",750.57,53.28,56.31,10.025,10.26,0.1393,0.1459,0.0,0.0,20.558,19.925,19.895,0.8,2,B,
16,DELIVER,delivery,SUCCEEDED,delivered 2 units,803.86,55.76,56.31,10.101,10.26,0.1542,0.1556,0.0,0.0,19.925,19.224,19.218,0.0,2,delivery,
17,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",859.64,46.7,46.15,6.229,6.3,0.11,0.1089,0.0,0.0,19.224,18.724,18.729,1.5,1,C,
18,DELIVER,delivery,SUCCEEDED,delivered 1 units,906.35,47.57,46.15,6.353,6.3,0.1219,0.1201,0.0,0.0,18.724,18.17,18.178,0.0,1,delivery,
19,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",953.94,53.34,55.67,9.943,10.01,0.1406,0.1436,0.0,0.0,18.17,17.53,17.517,1.0,2,A,attempt 1: Nav2 aborted | recovery: clear costmaps
20,WAIT,,SUCCEEDED,waited 60 s at A,1007.29,61.25,60.0,0.0,0.0,0.1017,0.1,0.0,0.0,17.53,17.068,17.075,1.0,0,A,
21,CHARGE,charger,SUCCEEDED,charged to 40.0 %,1068.54,1001.44,997.12,8.932,9.04,0.0976,0.0952,5.1511,5.1402,17.068,40.039,40.0,1.0,0,charger,
