seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 3 units (1.80 kg), 0 left",14.63,62.95,68.92,14.99,15.18,0.18,0.1908,0.0,0.0,49.917,49.099,49.05,1.8,3,B,
2,PICKUP,A,SUCCEEDED,"took 2 units (1.60 kg), 0 left",77.59,70.91,76.87,17.754,18.28,0.2442,0.2577,0.0,0.0,49.099,47.988,47.928,3.4,2,A,
3,PICKUP,B,SUCCEEDED,"took 2 units (1.20 kg), 0 left",148.51,88.16,76.87,20.175,18.28,0.3275,0.2916,0.0,0.0,47.988,46.5,46.662,4.6,2,B,
4,DELIVER,delivery,SUCCEEDED,delivered 7 units,236.69,57.04,56.31,10.288,10.26,0.2018,0.2001,0.0,0.0,46.5,45.583,45.591,0.0,7,delivery,
5,PICKUP,B,SUCCEEDED,"took 2 units (1.20 kg), 0 left",293.74,53.58,56.31,10.044,10.26,0.1405,0.1453,0.0,0.0,45.583,44.944,44.922,1.2,2,B,
6,PICKUP,A,SUCCEEDED,"took 3 units (2.40 kg), 0 left",347.33,70.68,76.87,17.748,18.28,0.2327,0.2456,0.0,0.0,44.944,43.887,43.828,3.6,3,A,
7,PICKUP,B,SUCCEEDED,"took 2 units (1.20 kg), 0 left",418.03,72.89,76.87,17.867,18.28,0.2859,0.2974,0.0,0.0,43.887,42.587,42.535,4.8,2,B,
8,DELIVER,delivery,SUCCEEDED,delivered 7 units,490.93,56.66,56.31,10.13,10.26,0.2036,0.2037,0.0,0.0,42.587,41.661,41.661,0.0,7,delivery,
9,PICKUP,C,SUCCEEDED,"took 1 units (2.00 kg), 0 left",547.6,47.66,46.15,6.28,6.3,0.1119,0.1089,0.0,0.0,41.661,41.153,41.166,2.0,1,C,
10,PICKUP,B,SUCCEEDED,"took 3 units (1.80 kg), 0 left",595.27,52.15,53.69,9.125,9.24,0.1546,0.1581,0.0,0.0,41.153,40.45,40.434,3.8,3,B,
11,DELIVER,delivery,SUCCEEDED,delivered 4 units,647.43,56.85,56.31,10.186,10.26,0.1924,0.1919,0.0,0.0,40.45,39.575,39.578,0.0,4,delivery,
12,PICKUP,A,SUCCEEDED,"took 4 units (3.20 kg), 0 left",704.29,53.39,55.67,9.864,10.01,0.1386,0.1437,0.0,0.0,39.575,38.945,38.922,3.2,4,A,
13,PICKUP,B,SUCCEEDED,"took 2 units (1.20 kg), 1 left",757.69,75.12,76.87,17.382,18.28,0.2795,0.2902,0.0,0.0,38.945,37.675,37.626,4.4,2,B,
14,DELIVER,delivery,SUCCEEDED,delivered 6 units,832.83,56.62,56.31,10.15,10.26,0.1999,0.1997,0.0,0.0,37.675,36.766,36.767,0.0,6,delivery,
15,PICKUP,C,SUCCEEDED,"took 1 units (2.00 kg), 0 left",889.46,47.94,46.15,6.256,6.3,0.112,0.1091,0.0,0.0,36.766,36.257,36.27,2.0,1,C,
16,PICKUP,B,SUCCEEDED,"took 3 units (1.80 kg), 0 left",937.42,52.18,53.69,9.153,9.24,0.1552,0.1586,0.0,0.0,36.257,35.552,35.536,3.8,3,B,
17,DELIVER,delivery,SUCCEEDED,delivered 4 units,989.6,56.72,56.31,10.147,10.26,0.1928,0.1925,0.0,0.0,35.552,34.676,34.677,0.0,4,delivery,
18,PICKUP,A,SUCCEEDED,"took 4 units (3.20 kg), 0 left",1046.33,53.33,55.67,9.855,10.01,0.1388,0.144,0.0,0.0,34.676,34.044,34.021,3.2,4,A,
19,DELIVER,delivery,SUCCEEDED,delivered 4 units,1099.67,56.09,55.67,9.91,10.01,0.1819,0.1821,0.0,0.0,34.044,33.218,33.216,0.0,4,delivery,
20,PICKUP,C,SUCCEEDED,"took 1 units (2.00 kg), 0 left",1155.78,47.23,46.15,6.331,6.3,0.1125,0.1092,0.0,0.0,33.218,32.706,32.722,2.0,1,C,attempt 1: Nav2 aborted | recovery: clear costmaps
21,PICKUP,B,SUCCEEDED,"took 5 units (3.00 kg), 0 left",1203.02,51.84,53.69,9.043,9.24,0.1529,0.1588,0.0,0.0,32.706,32.011,31.984,5.0,5,B,
