sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
2.58,A,RUNNING,0.0,0,0,4,8,0.5,20.0,100.0,757.98,0.0,0,0.0,0.0
3.0,A,RUNNING,0.42,0,0,4,8,0.5,20.0,100.0,757.56,0.0,0,0.0,0.0
4.0,A,RUNNING,1.42,0,0,4,8,0.5,20.0,100.0,756.56,0.0,0,0.0,0.0
5.0,A,RUNNING,2.42,0,0,4,8,0.5,20.0,100.0,755.56,0.0,0,0.0,0.0
6.0,A,RUNNING,3.42,0,0,4,8,0.5,20.0,100.0,754.56,0.0,0,0.0,0.0
7.0,A,RUNNING,4.42,0,0,4,8,0.5,20.0,100.0,753.56,0.0,0,0.0,0.0
8.0,A,RUNNING,5.42,0,0,4,8,0.5,20.0,100.0,752.56,0.0,0,0.0,0.0
9.0,A,RUNNING,6.42,0,0,4,8,0.5,20.0,100.0,751.56,0.0,0,0.0,0.0
10.0,A,RUNNING,7.42,0,0,4,8,0.5,20.0,100.0,750.56,0.0,0,0.0,0.0
11.0,A,RUNNING,8.42,0,0,4,8,0.5,20.0,100.0,749.56,0.0,0,0.0,0.0
12.0,A,RUNNING,9.42,0,0,4,8,0.5,20.0,100.0,748.56,0.0,0,0.0,0.0
13.0,A,RUNNING,10.42,0,0,4,8,0.5,20.0,100.0,747.56,0.0,0,0.0,0.0
14.0,A,RUNNING,11.42,0,0,4,8,0.5,20.0,100.0,746.56,0.0,0,0.0,0.0
15.0,A,RUNNING,12.42,0,0,4,8,0.5,20.0,100.0,745.56,0.0,0,0.0,0.0
16.0,A,RUNNING,13.42,0,0,4,8,0.5,20.0,100.0,744.56,0.0,0,0.0,0.0
17.0,A,RUNNING,14.42,0,0,4,8,0.5,20.0,100.0,743.56,0.0,0,0.0,0.0
18.0,A,RUNNING,15.42,0,0,4,8,0.5,20.0,100.0,742.56,0.0,0,0.0,0.0
19.0,A,RUNNING,16.42,0,0,4,8,0.5,20.0,100.0,741.56,0.0,0,0.0,0.0
20.0,A,RUNNING,17.42,0,0,4,8,0.5,20.0,100.0,740.56,0.0,0,0.0,0.0
21.0,A,RUNNING,18.42,0,0,4,8,0.5,20.0,100.0,739.56,0.0,0,0.0,0.0
22.0,A,RUNNING,19.42,0,0,4,8,0.5,20.0,100.0,738.56,0.0,0,0.0,0.0
23.0,A,RUNNING,20.42,0,0,4,8,0.5,20.0,100.0,737.56,0.0,0,0.0,0.0
24.0,A,RUNNING,21.42,0,0,4,8,0.5,20.0,100.0,736.56,0.0,0,0.0,0.0
25.0,A,RUNNING,22.42,0,0,4,8,0.5,20.0,100.0,735.56,0.0,0,0.0,0.0
26.0,A,RUNNING,23.42,0,0,4,8,0.5,20.0,100.0,734.56,0.0,0,0.0,0.0
27.0,A,RUNNING,24.42,0,0,4,8,0.5,20.0,100.0,733.56,0.0,0,0.0,0.0
28.0,A,RUNNING,25.42,0,0,4,8,0.5,20.0,100.0,732.56,0.0,0,0.0,0.0
29.0,A,RUNNING,26.42,0,0,4,8,0.5,20.0,100.0,731.56,0.0,0,0.0,0.0
30.0,A,RUNNING,27.42,0,0,4,8,0.5,20.0,100.0,730.56,0.0,0,0.0,0.0
31.0,A,RUNNING,28.42,0,0,4,8,0.5,20.0,100.0,729.56,0.0,0,0.0,0.0
32.0,A,RUNNING,29.42,0,0,4,8,0.5,20.0,100.0,728.56,0.0,0,0.0,0.0
33.0,A,RUNNING,30.42,0,0,4,8,0.5,20.0,100.0,727.56,0.0,0,0.0,0.0
34.0,A,RUNNING,31.42,0,0,4,8,0.5,20.0,100.0,726.56,0.0,0,0.0,0.0
35.0,A,RUNNING,32.42,0,0,4,8,0.5,20.0,100.0,725.56,0.0,0,0.0,0.0
36.0,A,RUNNING,33.42,0,0,4,8,0.5,20.0,100.0,724.56,0.0,0,0.0,0.0
37.0,A,RUNNING,34.42,0,0,4,8,0.5,20.0,100.0,723.56,0.0,0,0.0,0.0
38.0,A,RUNNING,35.42,0,0,4,8,0.5,20.0,100.0,722.56,0.0,0,0.0,0.0
39.0,A,RUNNING,36.42,0,0,4,8,0.5,20.0,100.0,721.56,0.0,0,0.0,0.0
40.0,A,RUNNING,37.42,0,0,4,8,0.5,20.0,100.0,720.56,0.0,0,0.0,0.0
41.0,A,RUNNING,38.42,0,0,4,8,0.5,20.0,100.0,719.56,0.0,0,0.0,0.0
42.0,A,RUNNING,39.42,0,0,4,8,0.5,20.0,100.0,718.56,0.0,0,0.0,0.0
43.0,A,RUNNING,40.42,0,0,4,8,0.5,20.0,100.0,717.56,0.0,0,0.0,0.0
44.0,A,RUNNING,41.42,0,0,4,8,0.5,20.0,100.0,716.56,0.0,0,0.0,0.0
