sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
1.69,B,RUNNING,0.0,0,0,5,10,0.5,30.0,100.0,575.8548,0.0,0,0.0,0.0
2.0,B,RUNNING,0.312,0,0,5,10,0.5,30.0,100.0,575.5428,0.0,0,0.0,0.0
3.0,B,RUNNING,1.312,0,0,5,10,0.5,30.0,100.0,574.5428,0.0,0,0.0,0.0
4.0,B,RUNNING,2.312,0,0,5,10,0.5,30.0,100.0,573.5428,0.0,0,0.0,0.0
5.0,B,RUNNING,3.312,0,0,5,10,0.5,30.0,100.0,572.5428,0.0,0,0.0,0.0
6.0,B,RUNNING,4.312,0,0,5,10,0.5,30.0,100.0,571.5428,0.0,0,0.0,0.0
7.0,B,RUNNING,5.312,0,0,5,10,0.5,30.0,100.0,570.5428,0.0,0,0.0,0.0
8.0,B,RUNNING,6.316,0,0,5,10,0.5,30.0,100.0,569.5388,0.0,0,0.0,0.0
9.0,B,RUNNING,7.312,0,0,5,10,0.5,30.0,100.0,568.5428,0.0,0,0.0,0.0
10.0,B,RUNNING,8.312,0,0,5,10,0.5,30.0,100.0,567.5428,0.0,0,0.0,0.0
11.0,B,RUNNING,9.312,0,0,5,10,0.5,30.0,100.0,566.5428,0.0,0,0.0,0.0
12.0,B,RUNNING,10.312,0,0,5,10,0.5,30.0,100.0,565.5428,0.0,0,0.0,0.0
13.0,B,RUNNING,11.312,0,0,5,10,0.5,30.0,100.0,564.5428,0.0,0,0.0,0.0
14.0,B,RUNNING,12.312,0,0,5,10,0.5,30.0,100.0,563.5428,0.0,0,0.0,0.0
15.0,B,RUNNING,13.312,0,0,5,10,0.5,30.0,100.0,562.5428,0.0,0,0.0,0.0
16.0,B,RUNNING,14.312,0,0,5,10,0.5,30.0,100.0,561.5428,0.0,0,0.0,0.0
17.0,B,RUNNING,15.312,0,0,5,10,0.5,30.0,100.0,560.5428,0.0,0,0.0,0.0
18.0,B,RUNNING,16.312,0,0,5,10,0.5,30.0,100.0,559.5428,0.0,0,0.0,0.0
19.0,B,RUNNING,17.316,0,0,5,10,0.5,30.0,100.0,558.5388,0.0,0,0.0,0.0
20.0,B,RUNNING,18.312,0,0,5,10,0.5,30.0,100.0,557.5428,0.0,0,0.0,0.0
21.0,B,RUNNING,19.312,0,0,5,10,0.5,30.0,100.0,556.5428,0.0,0,0.0,0.0
22.0,B,RUNNING,20.312,0,0,5,10,0.5,30.0,100.0,555.5428,0.0,0,0.0,0.0
23.0,B,RUNNING,21.316,0,0,5,10,0.5,30.0,100.0,554.5388,0.0,0,0.0,0.0
24.0,B,RUNNING,22.312,0,0,5,10,0.5,30.0,100.0,553.5428,0.0,0,0.0,0.0
25.0,B,RUNNING,23.312,0,0,5,10,0.5,30.0,100.0,552.5428,0.0,0,0.0,0.0
26.0,B,RUNNING,24.312,0,0,5,10,0.5,30.0,100.0,551.5428,0.0,0,0.0,0.0
27.0,B,RUNNING,25.312,0,0,5,10,0.5,30.0,100.0,550.5428,0.0,0,0.0,0.0
28.0,B,RUNNING,26.312,0,0,5,10,0.5,30.0,100.0,549.5428,0.0,0,0.0,0.0
29.0,B,RUNNING,27.312,0,0,5,10,0.5,30.0,100.0,548.5428,0.0,0,0.0,0.0
30.0,B,RUNNING,28.312,0,0,5,10,0.5,30.0,100.0,547.5428,0.0,0,0.0,0.0
31.0,B,RUNNING,29.312,0,0,5,10,0.5,30.0,100.0,546.5428,0.0,0,0.0,0.0
32.0,B,RUNNING,30.312,0,0,5,10,0.5,30.0,100.0,545.5428,0.0,0,0.0,0.0
33.0,B,RUNNING,31.312,0,0,5,10,0.5,30.0,100.0,544.5428,0.0,0,0.0,0.0
34.0,B,RUNNING,32.312,0,0,5,10,0.5,30.0,100.0,543.5428,0.0,0,0.0,0.0
35.0,B,RUNNING,33.312,0,0,5,10,0.5,30.0,100.0,542.5428,0.0,0,0.0,0.0
36.0,B,RUNNING,34.312,0,0,5,10,0.5,30.0,100.0,541.5428,0.0,0,0.0,0.0
37.0,B,RUNNING,35.312,0,0,5,10,0.5,30.0,100.0,540.5428,0.0,0,0.0,0.0
38.0,B,RUNNING,36.312,0,0,5,10,0.5,30.0,100.0,539.5428,0.0,0,0.0,0.0
39.0,B,RUNNING,37.312,0,0,5,10,0.5,30.0,100.0,538.5428,0.0,0,0.0,0.0
40.0,B,RUNNING,38.312,0,0,5,10,0.5,30.0,100.0,537.5428,0.0,0,0.0,0.0
41.0,B,RUNNING,39.312,0,0,5,10,0.5,30.0,100.0,536.5428,0.0,0,0.0,0.0
42.0,B,RUNNING,40.312,0,0,5,10,0.5,30.0,100.0,535.5428,0.0,0,0.0,0.0
43.0,B,RUNNING,41.312,0,0,5,10,0.5,30.0,100.0,534.5428,0.0,0,0.0,0.0
44.0,B,RUNNING,42.312,0,0,5,10,0.5,30.0,100.0,533.5428,0.0,0,0.0,0.0
45.0,B,RUNNING,43.312,0,0,5,10,0.5,30.0,100.0,532.5428,0.0,0,0.0,0.0
46.0,B,RUNNING,44.312,0,0,5,10,0.5,30.0,100.0,531.5428,0.0,0,0.0,0.0
47.0,B,RUNNING,45.312,0,0,5,10,0.5,30.0,100.0,530.5428,0.0,0,0.0,0.0
48.0,B,RUNNING,46.316,0,0,5,10,0.5,30.0,100.0,529.5388,0.0,0,0.0,0.0
49.0,B,RUNNING,47.312,0,0,5,10,0.5,30.0,100.0,528.5428,0.0,0,0.0,0.0
50.0,B,RUNNING,48.312,0,0,5,10,0.5,30.0,100.0,527.5428,0.0,0,0.0,0.0
51.0,B,RUNNING,49.312,0,0,5,10,0.5,30.0,100.0,526.5428,0.0,0,0.0,0.0
52.0,B,RUNNING,50.312,0,0,5,10,0.5,30.0,100.0,525.5428,0.0,0,0.0,0.0
53.01,B,RUNNING,51.32,0,0,5,10,0.5,30.0,100.0,524.5348,0.0,0,0.0,0.0
54.0,B,RUNNING,52.312,0,0,5,10,0.5,30.0,100.0,523.5428,0.0,0,0.0,0.0
55.0,B,RUNNING,53.312,0,0,5,10,0.5,30.0,100.0,522.5428,0.0,0,0.0,0.0
56.0,B,RUNNING,54.312,0,0,5,10,0.5,30.0,100.0,521.5428,0.0,0,0.0,0.0
57.01,B,RUNNING,55.32,0,0,5,10,0.5,30.0,100.0,520.5348,0.0,0,0.0,0.0
58.0,B,RUNNING,56.316,0,0,5,10,0.5,30.0,100.0,519.5388,0.0,0,0.0,0.0
59.0,B,RUNNING,57.316,0,0,5,10,0.5,30.0,100.0,518.5388,0.0,0,0.0,0.0
