seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",13.59,63.15,68.92,15.038,15.18,0.1802,0.1908,0.0,0.0,29.928,29.109,29.061,2.0,5,B,
2,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",76.76,72.41,76.87,17.913,18.28,0.2528,0.2619,0.0,0.0,29.109,27.96,27.918,4.0,4,A,
3,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",149.17,74.96,76.87,18.45,18.28,0.3032,0.3043,0.0,0.0,27.96,26.581,26.577,4.8,2,B,
4,DELIVER,delivery,SUCCEEDED,delivered 11 units,224.14,57.95,56.31,10.216,10.26,0.2049,0.2024,0.0,0.0,26.581,25.65,25.661,0.0,11,delivery,
5,CHARGE,charger,SUCCEEDED,charged to 40.0 %,282.09,624.06,620.22,5.237,5.1,0.0527,0.0474,3.2089,3.2044,25.65,39.996,40.0,0.0,0,charger,
6,PICKUP,B,SUCCEEDED,"took 6 units (2.40 kg), 0 left",906.17,63.24,68.92,14.996,15.18,0.18,0.1908,0.0,0.0,39.996,39.178,39.129,2.4,6,B,
7,PICKUP,A,SUCCEEDED,"took 5 units (2.50 kg), 0 left",969.41,72.57,76.87,18.095,18.28,0.261,0.2704,0.0,0.0,39.178,37.992,37.949,4.9,5,A,
8,DELIVER,delivery,SUCCEEDED,delivered 11 units,1041.99,57.83,55.67,10.215,10.01,0.2062,0.1999,0.0,0.0,37.992,37.055,37.083,0.0,11,delivery,
9,CHARGE,charger,SUCCEEDED,charged to 40.0 %,1099.85,149.09,144.82,5.213,5.1,0.0527,0.0474,0.7019,0.6953,37.055,40.005,40.0,0.0,0,charger,
10,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",1248.96,62.8,68.92,14.931,15.18,0.1799,0.1909,0.0,0.0,40.005,39.188,39.137,1.2,3,B,
11,DELIVER,delivery,SUCCEEDED,delivered 3 units,1311.76,57.77,56.31,10.293,10.26,0.1629,0.1597,0.0,0.0,39.188,38.447,38.462,0.0,3,delivery,
12,PICKUP,C,SUCCEEDED,"took 2 units (3.00 kg), 0 left",1369.53,47.9,46.15,6.363,6.3,0.112,0.1086,0.0,0.0,38.447,37.938,37.953,3.0,2,C,
13,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",1417.44,53.63,53.69,9.49,9.24,0.1712,0.1684,0.0,0.0,37.938,37.16,37.172,3.4,1,B,
14,DELIVER,delivery,SUCCEEDED,delivered 3 units,1471.1,58.17,56.31,10.376,10.26,0.1905,0.1864,0.0,0.0,37.16,36.294,36.313,0.0,3,delivery,
15,PICKUP,A,SUCCEEDED,"took 3 units (1.50 kg), 0 left",1529.3,54.02,55.67,9.965,10.01,0.1404,0.1434,0.0,0.0,36.294,35.656,35.642,1.5,3,A,
16,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",1583.33,74.7,76.87,18.677,18.28,0.2528,0.2528,0.0,0.0,35.656,34.507,34.507,2.3,2,B,
17,DELIVER,delivery,SUCCEEDED,delivered 5 units,1658.03,57.25,56.31,10.148,10.26,0.1741,0.1737,0.0,0.0,34.507,33.715,33.717,0.0,5,delivery,
18,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",1715.29,47.48,46.15,6.268,6.3,0.1102,0.1089,0.0,0.0,33.715,33.214,33.22,1.5,1,C,
19,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",1762.78,53.93,53.69,9.624,9.24,0.156,0.1528,0.0,0.0,33.214,32.505,32.519,1.9,1,B,
20,DELIVER,delivery,SUCCEEDED,delivered 2 units,1816.72,57.57,56.31,10.284,10.26,0.1722,0.1691,0.0,0.0,32.505,31.723,31.737,0.0,2,delivery,
21,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",1874.3,53.74,56.31,9.994,10.26,0.141,0.1461,0.0,0.0,31.723,31.082,31.059,0.4,1,B,
22,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",1928.05,71.98,76.87,18.157,18.28,0.2213,0.2299,0.0,0.0,31.082,30.076,30.037,1.4,2,A,
23,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",2000.04,77.48,76.87,19.532,18.28,0.2609,0.2518,0.0,0.0,30.076,28.89,28.931,2.2,2,B,
24,DELIVER,delivery,SUCCEEDED,delivered 5 units,2077.53,57.82,56.31,10.22,10.26,0.1758,0.1732,0.0,0.0,28.89,28.091,28.103,0.0,5,delivery,
25,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",2135.36,54.9,55.67,10.108,10.01,0.1436,0.1441,0.0,0.0,28.091,27.438,27.436,0.5,1,A,
26,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",2190.27,74.26,76.87,18.263,18.28,0.2281,0.2327,0.0,0.0,27.438,26.401,26.38,0.9,1,B,
27,DELIVER,delivery,SUCCEEDED,delivered 2 units,2264.53,57.04,56.31,10.249,10.26,0.1587,0.1575,0.0,0.0,26.401,25.68,25.685,0.0,2,delivery,
28,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",2321.58,47.9,46.15,6.319,6.3,0.1125,0.1093,0.0,0.0,25.68,25.169,25.183,1.5,1,C,
29,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",2369.5,53.44,53.69,9.464,9.24,0.1539,0.1534,0.0,0.0,25.169,24.469,24.472,2.3,2,B,
30,DELIVER,delivery,SUCCEEDED,delivered 3 units,2422.95,57.82,56.31,10.324,10.26,0.1781,0.1747,0.0,0.0,24.469,23.66,23.675,0.0,3,delivery,
31,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",2480.78,54.46,55.67,10.07,10.01,0.1435,0.1442,0.0,0.0,23.66,23.007,23.004,1.0,2,A,
32,DELIVER,delivery,SUCCEEDED,delivered 2 units,2535.24,58.17,55.67,10.222,10.01,0.1615,0.1562,0.0,0.0,23.007,22.273,22.297,0.0,2,delivery,
33,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",2593.42,54.32,56.31,10.145,10.26,0.1422,0.1466,0.0,0.0,22.273,21.627,21.607,0.4,1,B,
34,DELIVER,delivery,SUCCEEDED,delivered 1 units,2647.74,57.46,56.31,10.245,10.26,0.1543,0.1515,0.0,0.0,21.627,20.925,20.938,0.0,1,delivery,
35,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",2705.21,55.79,55.67,10.118,10.01,0.1438,0.1443,0.0,0.0,20.925,20.272,20.269,0.5,1,A,attempt 1: Nav2 aborted | recovery: clear costmaps
36,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",2761.02,75.77,76.87,19.487,18.28,0.2371,0.2331,0.0,0.0,20.264,19.186,19.205,1.3,2,B,
37,DELIVER,delivery,SUCCEEDED,delivered 3 units,2836.79,57.87,56.31,10.384,10.26,0.1664,0.1627,0.0,0.0,19.186,18.43,18.447,0.0,3,delivery,
38,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",2894.67,47.45,46.15,6.279,6.3,0.1124,0.1094,0.0,0.0,18.43,17.919,17.933,1.5,1,C,
39,DELIVER,delivery,SUCCEEDED,delivered 1 units,2942.12,48.27,46.15,6.43,6.3,0.1247,0.1207,0.0,0.0,17.919,17.352,17.37,0.0,1,delivery,
40,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",2990.4,53.79,55.67,9.939,10.01,0.1413,0.1443,0.0,0.0,17.352,16.71,16.696,1.0,2,A,
41,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",3044.19,73.67,76.87,18.058,18.28,0.2365,0.2441,0.0,0.0,16.71,15.635,15.6,1.8,2,B,
42,DELIVER,delivery,SUCCEEDED,delivered 4 units,3117.87,58.11,56.31,10.228,10.26,0.1715,0.1689,0.0,0.0,15.635,14.855,14.867,0.0,4,delivery,
43,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",3175.99,53.8,56.31,10.032,10.26,0.1418,0.1468,0.0,0.0,14.855,14.211,14.188,0.4,1,B,
44,DELIVER,delivery,SUCCEEDED,delivered 1 units,3229.8,58.49,56.31,10.278,10.26,0.1564,0.1517,0.0,0.0,14.211,13.5,13.522,0.0,1,delivery,
45,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",3288.3,54.0,55.67,9.915,10.01,0.1412,0.1444,0.0,0.0,13.5,12.858,12.844,0.5,1,A,
46,DELIVER,delivery,SUCCEEDED,delivered 1 units,3342.31,57.73,55.67,10.242,10.01,0.1557,0.1504,0.0,0.0,12.858,12.15,12.174,0.0,1,delivery,
47,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",3400.04,47.71,46.15,6.282,6.3,0.1108,0.1094,0.0,0.0,12.15,11.647,11.653,1.5,1,C,
48,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",3447.76,53.88,53.69,9.61,9.24,0.1568,0.1537,0.0,0.0,11.647,10.934,10.948,2.7,3,B,
49,DELIVER,delivery,SUCCEEDED,delivered 4 units,3501.64,56.92,56.31,10.219,10.26,0.1808,0.1799,0.0,0.0,10.934,10.112,10.116,0.0,4,delivery,
50,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",3558.57,54.54,55.67,10.068,10.01,0.1437,0.1444,0.0,0.0,10.112,9.459,9.456,0.5,1,A,
