seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",11.98,62.81,68.92,14.993,15.18,0.1799,0.1908,0.0,0.0,29.949,29.131,29.082,2.0,5,B,
2,DELIVER,delivery,SUCCEEDED,delivered 5 units,74.8,57.51,56.31,10.315,10.26,0.1722,0.1689,0.0,0.0,29.131,28.348,28.363,0.0,5,delivery,
3,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",132.32,55.86,55.67,10.14,10.01,0.1441,0.1428,0.0,0.0,28.348,27.693,27.699,2.0,4,A,
4,DELIVER,delivery,SUCCEEDED,delivered 4 units,188.18,57.51,55.67,10.105,10.01,0.169,0.1661,0.0,0.0,27.693,26.925,26.938,0.0,4,delivery,
5,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",245.7,54.05,56.31,10.145,10.26,0.1408,0.1451,0.0,0.0,26.925,26.285,26.265,0.8,2,B,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,299.76,58.5,56.31,10.427,10.26,0.1603,0.1547,0.0,0.0,26.285,25.557,25.582,0.0,2,delivery,
7,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",358.26,47.48,46.15,6.333,6.3,0.1101,0.1085,0.0,0.0,25.557,25.056,25.064,1.5,1,C,
8,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",405.75,66.39,69.9,15.692,15.56,0.2181,0.2218,0.0,0.0,25.056,24.065,24.048,2.5,2,A,
9,DELIVER,delivery,SUCCEEDED,delivered 3 units,472.14,57.28,55.67,10.262,10.01,0.1767,0.1724,0.0,0.0,24.065,23.261,23.281,0.0,3,delivery,
10,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",529.42,54.1,56.31,10.078,10.26,0.1409,0.1456,0.0,0.0,23.261,22.621,22.599,1.2,3,B,
11,DELIVER,delivery,SUCCEEDED,delivered 3 units,583.52,57.9,56.31,10.285,10.26,0.1632,0.1601,0.0,0.0,22.621,21.879,21.893,0.0,3,delivery,
12,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",641.42,54.3,55.67,10.008,10.01,0.1407,0.1434,0.0,0.0,21.879,21.24,21.227,0.5,1,A,
13,DELIVER,delivery,SUCCEEDED,delivered 1 units,695.72,58.89,55.67,10.298,10.01,0.1566,0.1493,0.0,0.0,21.24,20.528,20.561,0.0,1,delivery,
14,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",754.62,54.06,56.31,10.079,10.26,0.1412,0.1458,0.0,0.0,20.528,19.886,19.865,0.4,1,B,
15,DELIVER,delivery,SUCCEEDED,delivered 1 units,808.68,57.5,56.31,10.348,10.26,0.1541,0.1507,0.0,0.0,19.886,19.186,19.201,0.0,1,delivery,
16,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",866.18,47.47,46.15,6.273,6.3,0.1102,0.1089,0.0,0.0,19.186,18.685,18.691,1.5,1,C,
17,DELIVER,delivery,SUCCEEDED,delivered 1 units,913.66,48.5,46.15,6.393,6.3,0.1255,0.1201,0.0,0.0,18.685,18.114,18.139,0.0,1,delivery,
18,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",962.16,53.89,55.67,9.968,10.01,0.1408,0.1436,0.0,0.0,18.114,17.474,17.461,0.5,1,A,
19,WAIT,,SUCCEEDED,waited 60 s at A,1016.05,61.2,60.0,0.0,0.0,0.1016,0.1,0.0,0.0,17.474,17.012,17.019,0.5,0,A,
20,CHARGE,charger,SUCCEEDED,charged to 40.0 %,1077.26,1003.18,998.44,9.399,9.04,0.0967,0.0898,5.1564,5.1472,17.012,40.011,40.0,0.5,0,charger,
