seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 5 units (2.00 kg), 0 left",14.1,62.99,68.92,15.01,15.18,0.1801,0.1908,0.0,0.0,29.914,29.096,29.047,2.0,5,B,
2,DELIVER,delivery,SUCCEEDED,delivered 5 units,77.11,56.6,56.31,10.107,10.26,0.1674,0.1689,0.0,0.0,29.096,28.335,28.328,0.0,5,delivery,
3,PICKUP,A,SUCCEEDED,"took 4 units (2.00 kg), 0 left",133.71,53.28,55.67,9.781,10.01,0.1372,0.1428,0.0,0.0,28.335,27.711,27.686,2.0,4,A,
4,DELIVER,delivery,SUCCEEDED,delivered 4 units,187.0,56.57,55.67,9.978,10.01,0.1681,0.1661,0.0,0.0,27.711,26.947,26.956,0.0,4,delivery,
5,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",243.58,53.37,56.31,10.086,10.26,0.1388,0.1451,0.0,0.0,26.947,26.316,26.287,0.8,2,B,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,296.95,56.69,56.31,10.156,10.26,0.1554,0.1547,0.0,0.0,26.316,25.61,25.613,0.0,2,delivery,
7,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",353.64,47.62,46.15,6.306,6.3,0.1116,0.1085,0.0,0.0,25.61,25.103,25.117,1.5,1,C,
8,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",401.29,64.95,69.9,15.481,15.56,0.2133,0.2217,0.0,0.0,25.103,24.133,24.095,2.5,2,A,
9,DELIVER,delivery,SUCCEEDED,delivered 3 units,466.24,55.68,55.67,9.855,10.01,0.1702,0.1724,0.0,0.0,24.133,23.36,23.349,0.0,3,delivery,
10,PICKUP,B,SUCCEEDED,"took 3 units (1.20 kg), 0 left",521.94,53.42,56.31,10.062,10.26,0.1408,0.1456,0.0,0.0,23.36,22.72,22.698,1.2,3,B,
11,DELIVER,delivery,SUCCEEDED,delivered 3 units,575.36,56.53,56.31,10.103,10.26,0.1586,0.1601,0.0,0.0,22.72,21.999,21.992,0.0,3,delivery,
12,PICKUP,A,SUCCEEDED,"took 1 units (0.50 kg), 0 left",631.9,53.22,55.67,9.877,10.01,0.14,0.1434,0.0,0.0,21.999,21.362,21.347,0.5,1,A,
13,DELIVER,delivery,SUCCEEDED,delivered 1 units,685.12,56.16,55.67,9.91,10.01,0.1494,0.1493,0.0,0.0,21.362,20.683,20.683,0.0,1,delivery,
14,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",741.29,53.48,56.31,10.046,10.26,0.1393,0.1458,0.0,0.0,20.683,20.05,20.02,0.4,1,B,
15,DELIVER,delivery,SUCCEEDED,delivered 1 units,794.78,56.63,56.31,10.137,10.26,0.1513,0.1507,0.0,0.0,20.05,19.362,19.365,0.0,1,delivery,
16,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",851.43,47.76,46.15,6.26,6.3,0.1118,0.1089,0.0,0.0,19.362,18.854,18.867,1.5,1,C,
17,DELIVER,delivery,SUCCEEDED,delivered 1 units,899.2,48.07,46.15,6.388,6.3,0.1239,0.1201,0.0,0.0,18.854,18.291,18.308,0.0,1,delivery,
18,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",947.27,53.07,55.67,9.804,10.01,0.1382,0.1436,0.0,0.0,18.291,17.663,17.638,1.0,2,A,
19,WAIT,,SUCCEEDED,waited 60 s at A,1000.34,61.21,60.0,0.0,0.0,0.1016,0.1,0.0,0.0,17.663,17.201,17.208,1.0,0,A,
20,WAIT,,SUCCEEDED,waited 60 s at A,1061.56,61.24,60.0,0.0,0.0,0.1017,0.1,0.0,0.0,17.201,16.739,16.746,1.0,0,A,
