detail,driven_m,energy_wh,from,goal_error_m,matrix_m,min_clearance_m,planned_m,planner,planning_ms,repeat,success,time_s,to,turning_rad
status 4 error 0,10.723,0.1029,A,0.116,10.01,0.492,10.566,Smac2D,4.0,1,True,28.1,delivery,6.742
status 4 error 0,10.384,0.0964,delivery,0.167,10.26,0.364,10.592,Smac2D,4.0,1,True,24.82,B,4.618
status 4 error 0,10.271,0.099,B,0.156,10.26,0.316,10.171,Smac2D,4.0,1,True,26.41,delivery,2.733
status 4 error 0,6.396,0.0636,delivery,0.076,6.3,0.381,6.389,Smac2D,5.8,1,True,18.18,C,2.525
status 4 error 0,6.498,0.0642,C,0.126,6.3,0.35,6.378,Smac2D,9.09,1,True,18.31,delivery,1.993
status 4 error 0,5.309,0.0547,delivery,0.041,5.1,0.424,5.176,Smac2D,6.14,1,True,15.61,charger,2.068
status 4 error 0,8.729,0.0795,charger,0.191,9.04,0.35,8.998,ThetaStar,4.0,1,True,20.4,A,6.375
status 4 error 0,10.056,0.0964,A,0.2,10.01,0.354,9.954,ThetaStar,4.0,1,True,26.01,delivery,4.84
status 4 error 0,10.103,0.0934,delivery,0.183,10.26,0.354,10.381,ThetaStar,9.23,1,True,23.61,B,4.104
status 4 error 0,10.197,0.0973,B,0.136,10.26,0.335,10.117,ThetaStar,4.0,1,True,26.71,delivery,4.759
status 4 error 0,6.291,0.0632,delivery,0.087,6.3,0.45,6.303,ThetaStar,5.38,1,True,17.2,C,1.303
status 4 error 0,6.357,0.062,C,0.208,6.3,0.35,6.266,ThetaStar,6.02,1,True,17.51,delivery,1.042
status 4 error 0,5.314,0.0548,delivery,0.046,5.1,0.55,5.156,ThetaStar,6.32,1,True,15.91,charger,0.802
status 4 error 0,9.0,0.0827,charger,0.233,9.04,0.32,9.733,SmacLattice,12.0,1,True,21.01,A,6.218
status 4 error 0,10.782,0.102,A,0.221,10.01,0.391,10.814,SmacLattice,404.0,1,True,26.61,delivery,7.768
status 4 error 0,10.189,0.0942,delivery,0.141,10.26,0.391,10.471,SmacLattice,12.0,1,True,23.61,B,3.181
status 4 error 0,10.421,0.1002,B,0.203,10.26,0.381,10.312,SmacLattice,452.0,1,True,26.41,delivery,4.389
status 4 error 0,6.407,0.0607,delivery,0.137,6.3,0.45,6.701,SmacLattice,8.0,1,True,16.75,C,4.098
status 4 error 0,6.362,0.0638,C,0.176,6.3,0.4,6.338,SmacLattice,148.0,1,True,17.71,delivery,1.95
status 4 error 0,6.274,0.0751,delivery,0.175,5.1,0.364,7.224,SmacLattice,4.0,1,True,25.2,charger,7.138
status 4 error 0,9.365,0.0901,charger,0.211,9.04,0.335,9.442,NavfnDijkstra,12.28,1,True,23.22,A,11.228
status 4 error 0,10.533,0.1026,A,0.119,10.01,0.412,10.538,NavfnDijkstra,12.65,1,True,28.01,delivery,13.218
status 4 error 0,10.207,0.0944,delivery,0.181,10.26,0.4,10.547,NavfnDijkstra,16.41,1,True,24.02,B,7.786
status 4 error 0,10.108,0.0987,B,0.193,10.26,0.412,10.11,NavfnDijkstra,12.8,1,True,27.52,delivery,1.584
status 4 error 0,6.299,0.0636,delivery,0.069,6.3,0.45,6.335,NavfnDijkstra,11.65,1,True,17.52,C,6.763
status 4 error 0,6.463,0.0644,C,0.252,6.3,0.3,6.415,NavfnDijkstra,9.05,1,True,18.12,delivery,3.943
status 4 error 0,5.349,0.0552,delivery,0.082,5.1,0.707,5.312,NavfnDijkstra,7.96,1,True,15.8,charger,2.907
status 4 error 0,8.907,0.0825,charger,0.125,9.04,0.283,9.043,Smac2D,4.0,2,True,21.11,A,6.013
status 4 error 0,10.565,0.1014,A,0.129,10.01,0.447,10.531,Smac2D,4.0,2,True,27.61,delivery,6.503
status 4 error 0,10.384,0.0971,delivery,0.122,10.26,0.316,10.448,Smac2D,4.0,2,True,24.82,B,4.702
status 4 error 0,10.335,0.1001,B,0.134,10.26,0.304,10.26,Smac2D,4.0,2,True,26.39,delivery,3.139
status 4 error 0,6.348,0.0638,delivery,0.083,6.3,0.381,6.381,Smac2D,6.27,2,True,18.5,C,2.282
status 4 error 0,6.573,0.0668,C,0.09,6.3,0.35,6.378,Smac2D,6.23,2,True,18.51,delivery,1.993
status 4 error 0,5.328,0.0536,delivery,0.049,5.1,0.361,5.182,Smac2D,4.91,2,True,15.81,charger,1.493
