detail,driven_m,energy_wh,from,goal_error_m,matrix_m,min_clearance_m,planned_m,planner,planning_ms,repeat,success,time_s,to,turning_rad
status 4 error 0,8.694,0.077,charger,0.193,9.04,0.335,9.16,NavfnDijkstra,4.0,0,True,19.99,A,9.952
status 4 error 0,10.331,0.0984,A,0.188,10.01,0.424,10.377,NavfnDijkstra,27.45,0,True,28.56,delivery,10.61
status 4 error 0,10.117,0.0908,delivery,0.233,10.26,0.35,10.502,NavfnDijkstra,4.0,0,True,23.96,B,8.511
status 4 error 0,10.086,0.0955,B,0.172,10.26,0.403,10.114,NavfnDijkstra,24.37,0,True,26.88,delivery,1.305
status 4 error 0,6.307,0.0616,delivery,0.114,6.3,0.4,6.45,NavfnDijkstra,10.67,0,True,17.75,C,5.172
status 4 error 0,6.454,0.0624,C,0.208,6.3,0.3,6.382,NavfnDijkstra,13.5,0,True,18.09,delivery,4.303
status 4 error 0,5.283,0.0532,delivery,0.068,5.1,0.539,5.3,NavfnDijkstra,14.77,0,True,15.85,charger,5.106
status 4 error 0,8.845,0.0813,charger,0.219,9.04,0.3,9.703,NavfnAStar,14.57,0,True,22.27,A,14.766
status 4 error 0,10.607,0.1035,A,0.131,10.01,0.447,10.672,NavfnAStar,18.23,0,True,29.72,delivery,16.006
status 4 error 0,10.799,0.0996,delivery,0.136,10.26,0.381,11.639,NavfnAStar,17.01,0,True,26.74,B,31.387
status 4 error 0,10.161,0.0964,B,0.172,10.26,0.43,10.258,NavfnAStar,18.06,0,True,26.94,delivery,3.724
status 4 error 0,6.368,0.0656,delivery,0.08,6.3,0.364,6.992,NavfnAStar,8.72,0,True,20.1,C,26.636
status 4 error 0,6.42,0.0626,C,0.182,6.3,0.3,6.396,NavfnAStar,33.02,0,True,18.13,delivery,2.204
status 4 error 0,5.227,0.0516,delivery,0.076,5.1,0.65,5.229,NavfnAStar,8.74,0,True,15.62,charger,1.385
status 4 error 0,9.014,0.0825,charger,0.067,9.04,0.283,8.909,Smac2D,4.0,0,True,21.97,A,5.768
status 4 error 0,10.511,0.1003,A,0.2,10.01,0.45,10.528,Smac2D,4.0,0,True,27.1,delivery,6.528
status 4 error 0,10.342,0.0928,delivery,0.222,10.26,0.381,10.513,Smac2D,4.0,0,True,24.44,B,4.591
status 4 error 0,10.299,0.0976,B,0.129,10.26,0.316,10.184,Smac2D,8.0,0,True,26.51,delivery,2.612
status 4 error 0,6.463,0.0631,delivery,0.124,6.3,0.447,6.431,Smac2D,6.63,0,True,18.7,C,2.789
status 4 error 0,6.495,0.0633,C,0.117,6.3,0.35,6.328,Smac2D,4.0,0,True,17.81,delivery,1.993
status 4 error 0,5.284,0.0539,delivery,0.076,5.1,0.447,5.226,Smac2D,9.53,0,True,15.68,charger,2.199
status 4 error 0,8.645,0.078,charger,0.216,9.04,0.35,8.854,ThetaStar,4.0,0,True,20.0,A,5.431
status 4 error 0,10.182,0.0957,A,0.234,10.01,0.381,10.163,ThetaStar,4.0,0,True,25.91,delivery,6.463
status 4 error 0,10.115,0.0906,delivery,0.202,10.26,0.354,10.448,ThetaStar,4.0,0,True,23.48,B,3.72
status 4 error 0,10.19,0.0959,B,0.137,10.26,0.335,10.12,ThetaStar,4.0,0,True,26.09,delivery,5.012
status 4 error 0,6.265,0.0607,delivery,0.1,6.3,0.403,6.313,ThetaStar,4.0,0,True,17.22,C,0.67
status 4 error 0,6.478,0.0635,C,0.189,6.3,0.35,6.33,ThetaStar,8.28,0,True,17.69,delivery,0.735
status 4 error 0,5.305,0.0542,delivery,0.047,5.1,0.559,5.205,ThetaStar,6.21,0,True,15.5,charger,0.735
status 4 error 0,9.003,0.0819,charger,0.215,9.04,0.283,9.872,SmacLattice,20.0,0,True,21.11,A,5.52
status 4 error 0,10.598,0.0999,A,0.267,10.01,0.381,10.608,SmacLattice,548.0,0,True,26.72,delivery,7.78
status 4 error 0,10.081,0.0926,delivery,0.194,10.26,0.361,10.463,SmacLattice,12.0,0,True,23.51,B,2.972
status 4 error 0,10.47,0.0977,B,0.232,10.26,0.4,10.314,SmacLattice,532.0,0,True,26.14,delivery,4.428
status 4 error 0,6.455,0.0619,delivery,0.092,6.3,0.45,6.657,SmacLattice,8.0,0,True,16.8,C,3.354
status 4 error 0,6.46,0.0637,C,0.243,6.3,0.4,6.242,SmacLattice,200.0,0,True,17.59,delivery,1.432
